,title,0-incident/single patient 1-awareness/campaign,score
116,Anchored in human rights,0.0,0.13230006
117,Man demands details of treatment given to wife at GH,0.0,0.1760923
118,Do not create panic over blood transfusion: TNGDA,0.0,0.2613567
119,Salem woman alleges she received HIV infected blood,0.0,0.18839055
120,PMK to align with ‘like-minded parties’ for polls,1.0,0.91505283
121,HIV+ youth whose blood was given to pregnant woman dies,0.0,0.066416495
122,AIDS Control Society holds awareness rally,1.0,0.92854065
123,Pathologists threaten strike,0.0,0.12959087
124,AIDS Control Society holds awareness rally,1.0,0.9285407
125,Pathologists threaten strike,0.0,0.12958805
126,‘Focus on producing the best’,1.0,0.8726621
127,Dialysis unit for HIV patients,0.0,0.28076345
128,"A long, tiring journey no longer",1.0,0.87086076
129,Focus on producing the best: Louganis,1.0,0.8986842
130,Experimental HIV vaccine found effective in monkeys: Study,0.0,0.06624795
131,"A march for dignity, support",1.0,0.87462085
132,‘None will be spared in HIV blood transfusion case’,0.0,0.073087655
133,DMK’s medical wing demands dismissal of Vijaya Baskar,0.0,0.07953196
134,Tainted blood,0.0,0.16779898
135,"A march for dignity, support",1.0,0.87462044
136,The lowdown on blood transfusions,0.0,0.12769629
137,HIV-infected youth dies,0.0,0.21195158
138,HIV positive blood donor dies after consuming poison,0.0,0.06373776
139,‘None will be spared in HIV blood transfusion case’,0.0,0.07307977
140,HIV+ woman seeks action against KMC,0.0,0.08357229
141,DMK’s medical wing demands dismissal of Vijaya Baskar,0.0,0.07953629
142,HIV crisis in TN: Tainted blood,0.0,0.249011
143,‘Make blood screening mandatory for recipients’,0.0,0.09094075
144,"PMK to align with like-minded parties for polls, says Anbumani",1.0,0.9281198
145,A year that saw health sector stained by transfusion blot,1.0,0.58988476
146,HIV+ youth whose blood was transfused to woman dies,0.0,0.07804242
147,Stalin demands dismissal of Health Minister,0.0,0.3848484
148,Salem woman alleges she received HIV infected blood,0.0,0.18839842
149,Ringing in New Year with children,0.0,0.2880807
150,A tragedy that deserves an intense investigation,0.0,0.10305422
151,Assembly session likely to be stormy,1.0,0.88966924
152,‘Purohit merely read out the government’s failure papers’,0.0,0.21542048
153,Post-mortem of HIV-infected youth performed,0.0,0.15733166
154,Assembly session likely to be stormy,1.0,0.8896632
155,"Morning digest: UP farmers struggle to protect crops from raiding bulls, cows; record arrests of Rohingya in 2018, and more",1.0,0.5211813
156,"Top news of the day: 11 killed in election violence in Bangladesh, veteran filmmaker Mrinal Sen passes away, and more",1.0,0.7158679
157,‘Purohit merely read out the government’s failure papers’,0.0,0.21541905
158,Direct benefit transfer scheme for TB patients makes slow progress,0.0,0.07292137
159,‘State needs a safe blood policy’,1.0,0.72264624
160,SCTIMST amps up blood safety,1.0,0.6906156
161,Haemodialysis centre for HIV-infected opened,0.0,0.34279728
162,SCTIMST amps up blood safety,1.0,0.69061553
163,International-HGIN54KT023jpgjpg,1.0,0.7412946
164,‘State needs a safe blood policy’,1.0,0.7226687
165,‘Precarious family milieu forces children to homes’,0.0,0.097879484
166,HIV no bar as Jharkhand woman donates kidney to husband,0.0,0.06266077
167,Centre drafts child protection policy,0.0,0.086025335
168,Second screening of blood bags in govt. hospitals over,0.0,0.24632902
169,Medical team visits Sivakasi GH to probe into HIV blood transfusion,0.0,0.4972701
170,Yadadri sex racket accused move HC to meet children,0.0,0.1768796
171,Centre drafts child protection policy,0.0,0.08602529
172,Seven doctors held for dirty dancing,0.0,0.27230826
173,Yadadri sex racket accused move HC to meet children,0.0,0.17687924
174,HIV no bar as Jharkhand woman donates kidney to husband,0.0,0.06266081
175,"Girls who eloped kept at govt. homes, finds NCW study",0.0,0.28022373
176,Blood transfusion,0.0,0.16672066
177,Woman claims to have been given HIV-infected blood,0.0,0.08338209
178,Lean out is the new lean in,0.0,0.1255787
179,Woman claims KMC gave her HIV,0.0,0.085360296
180,"Land, housing allocated to HIV-infected woman",0.0,0.08426813
181,"Land, housing allocated to HIV-infected woman",0.0,0.084268294
182,HIV+ woman seeks action against KMC,0.0,0.08357238
183,A year that saw health sector stained by transfusion blot,1.0,0.5898918
184,‘WHO guidelines on TB must be followed’,1.0,0.7167699
185,Stitching up cartoons on social issues,1.0,0.89955395
186,Blood safety,0.0,0.49922347
187,"Self-taught cartoonist from Andhra gets accolades in S. Korea, China",0.0,0.064620204
188,Indian Science Congress: Principal Scientific Adviser wants complaint lodged against VC's pseudoscience talk,1.0,0.9589805
189,‘Pseudo-scientific discourse unfortunate’,1.0,0.8706633
190,Zero governance triggering stirs: Stalin,0.0,0.088646054
191,aids,1.0,0.74999106
192,"After funding farmers, Odisha to finance graduate, PG students from underprivileged backgrounds",1.0,0.9271976
193,"Trans activists up the ante, to challenge Bill",1.0,0.8951741
194,Zero governance triggering stirs: Stalin,0.0,0.08864942
195,"Trans activists up the ante, to challenge Bill",1.0,0.8952299
196,"HIV, AIDS cases on the decline: officer",0.0,0.32439822
197,HIV viral load checking facility soon at CMCH,0.0,0.06304331
198,"HIV infection: A.P., Telangana rank fourth in country, says doc",0.0,0.053455602
199,HIV prevalence rate declines in Coimbatore,0.0,0.24935585
200,China halts work by team on gene-edited babies,0.0,0.45379505
201,‘China halts work on gene-editing babies’,1.0,0.9018643
202,"HIV, AIDS cases on the decline: officer",0.0,0.3243878
203,29mnudupiHIVGJ8526UP13jpgjpg,1.0,0.7412807
204,29novcbwgt1hivG13524G1S1jpgjpg,1.0,0.74127626
205,30cbHIV,1.0,0.741275
206,Take that flu shot,1.0,0.87095743
207,An award matter,1.0,0.50379544
208,What you should know about the flu shot,1.0,0.8708146
209,"Morning digest: Remembering 26/11, Kartarpur marks a fresh start, and other top stories of the day",1.0,0.852108
210,5 held for selling adulterated blood,0.0,0.25424594
211,5 held for selling adulterated blood,0.0,0.2542456
212,IMA members to rally for stroke awareness,1.0,0.91427034
213,Screening to identify perinatal depression,0.0,0.10131308
214,‘Almost half the people with HIV yet to get ART’,0.0,0.06671653
215,02BGAIDS,1.0,0.7412828
216,44% of people with HIV yet to get ART,0.0,0.20894374
217,Poor response from students,1.0,0.5827963
218,IMA members to rally for stroke awareness,1.0,0.91426945
219,01bgbgyasHIV-G424TVKAJ3jpgjpg,1.0,0.74127144
220,NACO mulling over introducing PrEP among vulnerable groups,1.0,0.6324804
221,NACO mulling over introducing PrEP among vulnerable groups,1.0,0.6324887
222,A research hub for antibiotics resistance,0.0,0.23640709
223,"There’s nothing about Freddie Mercury that’s choreographed, says Rami Malek on ‘Bohemian Rhapsody’",1.0,0.9544663
224,I want to break free,0.0,0.22905213
225,Freddie Mercury for the straight eye,1.0,0.8992591
226,SVR Ruia gears up for hepatitis control programme,1.0,0.75144947
227,‘HIV heightens risk of neuro emergencies’,1.0,0.5394027
228,‘4 BJP-ruled States took similar stand’,0.0,0.084960565
229,Bohemian Rhapsody review: Freddie Mercury for the straight eye,1.0,0.9368053
230,"‘Centre, AAP govt not ensuring regular supply of HIV drugs’",0.0,0.05652735
231,"‘Centre, AAP govt not ensuring regular supply of HIV drugs’",0.0,0.056530967
232,18DELPRIYAHIVRIBBON,1.0,0.7412711
233,Delhiites’ life expectancy reduced by 10 years due to pollution: report,0.0,0.05157561
234,IIT Roorkee team uses tamarind seed protein to treat chikungunya,1.0,0.63940966
235,‘Post-policy health conditions must be covered’,1.0,0.91303396
236,I want to break free,0.0,0.22905698
237,‘Post-policy health conditions must be covered’,1.0,0.91303355
238,I want to break free,0.0,0.22912696
239,I want to break free,0.0,0.22899705
240,"Prisoners screened for HIV, TB",0.0,0.10819717
241,I want to break free,0.0,0.22903529
242,IIT Roorkee team uses tamarind seed protein to treat chikungunya,1.0,0.6394114
243,‘Lovesick’ documentary: the story behind matchmaking people with HIV,0.0,0.22758695
244,A research hub for antibiotics resistance,0.0,0.23639329
245,How queer-friendly is your medic?,0.0,0.16955991
246,How queer-friendly is your medic?,0.0,0.16956207
247,I want to break free,0.0,0.2290597
248,Healthcare for immigrants in 30 languages,1.0,0.86317474
249,Events in Bengaluru Today,1.0,0.86820173
250,GH to expand services for transgenders,1.0,0.89819366
251,Meme competition to create awareness on HIV/AIDS,1.0,0.91225964
252,Meme competition to create awareness on HIV/AIDS,1.0,0.91227865
253,How queer-friendly is your doctor?,0.0,0.16833289
254,How queer-friendly is your medic?,0.0,0.1695617
255,How queer-friendly is your medic?,0.0,0.1695599
256,Contract health workers to go on strike tomorrow,1.0,0.5353718
257,Award for The Hindu journalist for writing on mental health issues,1.0,0.93738246
258,Chinese academic claims to have gene-edited twins,0.0,0.08509764
259,Gene-edited baby claim sparks outrage,0.0,0.084623374
260,Hospital denies approving ‘gene-editing’ experiment,0.0,0.2503256
261,China scientist defends gene-editing babies,0.0,0.08641083
262,China scientist defends gene-editing babies,0.0,0.0864082
263,A sing-song rescue mission,1.0,0.61162513
264,HIV patients stopping treatment midway: official,0.0,0.07271992
265,Delhiites’ life expectancy reduced by 10 years due to pollution: report,0.0,0.051576257
266,H1N1 cases on the rise in Kerala,0.0,0.10017072
267,"Take to AI, CSIR DG tells scientists",0.0,0.33527255
268,"Take to AI, CSIR DG tells scientists",0.0,0.33531335
269,An award matter,1.0,0.50378925
270,26THHIVcol,1.0,0.74127835
271,HIV infected children likely to suffer cognitive impairment: study,0.0,0.05794855
272,What you should know about the flu shot,1.0,0.8708133
273,Why one needs to get vaccinated against flu,1.0,0.5469464
274,What you should know about the flu shot,1.0,0.8708135
275,HIV infected children likely to suffer cognitive impairment: study,0.0,0.05794877
276,What you should know about the flu shot,1.0,0.8708138
277,Kids getting inked worries parents,0.0,0.10893031
278,Memories that linger,0.0,0.17588845
279,"‘Complacency’ may lead to HIV resurgence, warn experts",0.0,0.32425603
280,Jackie Shroff on thalassemia,1.0,0.61755705
281,How safe is CRISPR?,1.0,0.8173807
282,‘Less than 10% of those infected with viral hepatitis aware of disease’,0.0,0.06431648
283,How safe is CRISPR?,1.0,0.8173876
284,Rock and reminisce,1.0,0.8303186
285,Google extends support for Telugu language ads,1.0,0.92145574
286,27HYNRK02-GooglGF548HIV33jpgjpg,1.0,0.7412823
287,Helping the poor and needy with art,0.0,0.2709623
288,Women’s rights and personal choice,0.0,0.102459215
289,Jijo Kuriakose’s photos capture the chemistry between male bodies,1.0,0.93540543
290,School admissions under RTE begin,1.0,0.8966271
291,School admissions begin,1.0,0.8692718
292,"Braving all odds, a life among the dead",0.0,0.0876945
293,U.S. Trade Representative again places India on ‘watch list’,1.0,0.76293635
294,Much ado about nothing,1.0,0.8505942
295,jyoti-hivARTGGOU40QKIQ1jpgjpg,1.0,0.7412807
296,"Braving all odds, a life among the dead",0.0,0.08769548
297,Parents declare children as orphans to get RTE seat,0.0,0.4423043
298,Lankan Tamil refugee desperate to reunite with his father,0.0,0.075953744
299,Lankan Tamil desperate to reunite with his father,0.0,0.088888295
300,Call of the YOUNG,0.0,0.23723094
301,Parents declare children as orphans to get RTE seat,0.0,0.44231194
302,IIT Roorkee develops a potent molecule to treat chikungunya,1.0,0.60754436
303,IIT Roorkee develops a potent molecule to treat chikungunya,1.0,0.6075314
304,What if India hadn’t made friends with science?,0.0,0.31777346
305,Hi-tech vet lab in Kollam soon,1.0,0.6923128
306,Hi-tech vet lab in Kollam soon,1.0,0.6922753
307,What if India hadn’t made friends with science?,0.0,0.31774333
308,It begins with diagnosis,1.0,0.7029088
309,It begins with diagnosis,1.0,0.702957
310,Exclusion of any kind is an act of violence,1.0,0.8973135
311,Exclusion of any kind is an act of violence,1.0,0.8973134
312,In need of a lifeline,1.0,0.5099387
313,In need of a lifeline: India's battle against TB,1.0,0.6399921
314,Tortured by your own thoughts,1.0,0.83269787
315,Tortured by your own thoughts,1.0,0.83269805
316,Quiz: on musicians and artistes,1.0,0.87436354
317,The drive to control hepatitis,1.0,0.6262336
318,"Bringing about change, one step at a time",1.0,0.7516373
319,"Bringing about change, one step at a time",1.0,0.75163674
320,Hyderabad transgenders join task force team,1.0,0.5940644
321,Ten unmissable films at Kashish,1.0,0.89948404
322,Ten unmissable films at Kashish,1.0,0.89948416
323,Ten unmissable films at Kashish,1.0,0.89948416
324,Ten unmissable films at Kashish,1.0,0.89948463
325,No city for homeless and destitute,0.0,0.1333191
326,No city for homeless and destitute,0.0,0.13328396
327,A remote U.P. village shines the torch on a lurking virus,0.0,0.06355628
328,A remote U.P. village shines the torch on a lurking virus,0.0,0.06355701
329,Village in U.P. shines the torch on a lurking virus,0.0,0.07225653
330,Punjab CM claims success in drive against drug menace,0.0,0.31344673
331,Punjab CM claims success in drive against drug menace,0.0,0.31344578
332,More castes in RTE Act’s underprivileged category,1.0,0.9145374
333,HIV deaths in Mumbai up by 61% in a year,0.0,0.083996065
334,19bmhivcol,1.0,0.7412927
335,HIV deaths in Mumbai up by 61% in a year,0.0,0.08399601
336,Easy like Sunday morning,1.0,0.7047954
337,SHRC orders probe into boy’s death,0.0,0.08502879
338,Plea against medical university’s PG courses,1.0,0.8153518
339,Plea against medical university’s PG courses,1.0,0.81534886
340,SC admits plea to quash Section 377,1.0,0.5120065
341,SC admits petition to quash Section 377,0.0,0.49859118
342,"‘Reform medical education, build more colleges’",1.0,0.9147994
343,"‘Reform medical education, build more colleges’",1.0,0.91479945
344,Much ado about nothing,1.0,0.85059977
345,HC slams ‘blatant discrimination’ against HIV patient,0.0,0.08329923
346,HC slams ‘blatant discrimination’ against HIV patient,0.0,0.083292305
347,"Pay it forward, with pride",1.0,0.6200709
348,"Pay it forward, with pride",1.0,0.6200702
349,‘Adhikar Mela’ organised in Gurugram,1.0,0.89888656
350,‘Adhikar Mela’ organised in Gurugram,1.0,0.8988864
351,HIV positive persons allege humiliation by official,0.0,0.07177906
352,Organ donation camp at wedding reception,0.0,0.33674526
353,Organ donation camp at wedding reception,0.0,0.33676934
354,Organ donation camp at wedding reception,0.0,0.3367301
355,Organ donation camp at wedding reception,0.0,0.33673635
356,Organ donation camp at wedding reception,0.0,0.33674666
357,These TV shows bring mental illness to the forefront,0.0,0.44966817
358,Conflicts of the mind,0.0,0.19072469
359,Women’s rights and choice,0.0,0.1287085
360,MSF aid workers used prostitutes in Africa: BBC report,1.0,0.7189203
361,‘MSF aid workers used prostitutes in Africa’,1.0,0.72160095
362,DoE directs school heads to organise events against drug abuse,0.0,0.49875867
363,DoE directs school heads to organise events against drug abuse,0.0,0.49874884
364,Plans afoot to digitise records of ART patients,1.0,0.6342936
365,The portrait of an artist,1.0,0.8326085
366,Plans afoot to digitise records of ART patients,1.0,0.6342958
367,HY27-GOOGLEINDIA,1.0,0.7412718
368,Google extends support for Telugu language ads,1.0,0.92145455
369,Conflicts of the mind,0.0,0.19073616
370,Conflicts of the mind,0.0,0.19081731
371,Conflicts of the mind,0.0,0.19078499
372,Conflicts of the mind,0.0,0.19081175
373,Conflicts of the mind,0.0,0.19072278
374,Conflicts of the mind,0.0,0.19079247
375,hiv testingJPG,0.0,0.17513955
376,Doctors bust myths on blood donation,0.0,0.09458306
377,Awareness rally held,1.0,0.87497884
378,Doctors bust myths on blood donation,0.0,0.09457322
379,"APSACS, NACO launch screening tests for HIV",0.0,0.08772882
380,Between the lines at the Queer Chennai Chronicles,1.0,0.89870024
381,A melodious string theory,1.0,0.854709
382,Between the lines,1.0,0.7467023
383,"An NGO which is for, by, and of trafficking survivors",0.0,0.1225635
384,"To hell, and back",0.0,0.18463345
385,A rugged body of work,1.0,0.8735317
386,A bit of Wonder Woman in Frida...,0.0,0.10309647
387,A bit of Wonder Woman in Frida...,0.0,0.103097394
388,A meeting of donors and beneficiaries,1.0,0.5407444
389,A meeting of donors and beneficiaries,1.0,0.5406033
390,A meeting of donors and beneficiaries,1.0,0.5406645
391,Donors meet beneficiaries,0.0,0.15244174
392,A meeting of donors and beneficiaries,1.0,0.5405995
393,Rough weekend for the prez: ‘The President is Missing’ by Bill Clinton & James Patterson reviewed by Zac O’Yeah,1.0,0.9622361
394,AIDS vaccine offers hope in early trial,0.0,0.21482362
395,HIV: Community-based treatment yields positive results in Prakasam,0.0,0.4230983
396,"Now, another transgender dons legal robe",0.0,0.18990257
397,08brief2a,1.0,0.74127305
398,HIV: Community-based treatment yields positive results in Prakasam,0.0,0.42308557
399,09VJPAGE4HIVTESTING,1.0,0.74126995
400,08og-hiv-testinGS64AN4203jpgjpg,1.0,0.7412764
401,Gone girls: trafficked children of Yadadri,0.0,0.084245175
402,Gone girls: the trafficked children of Yadadri,0.0,0.08424544
403,Aspirin may help prevent HIV: study,0.0,0.07200761
404,THJC-12SMASPRIN1JPG,1.0,0.7412871
405,Aspirin may help prevent HIV: study,0.0,0.07200766
406,‘Why law to prevent discrimination against HIV patients not notified?’,0.0,0.063372165
407,A rainbow coalition,1.0,0.5005701
408,A rainbow coalition,1.0,0.50054497
409,‘Why law to prevent discrimination against HIV patients not notified?’,0.0,0.06337247
410,"1,575 children in shelter homes were victims of sexual abuse: Centre to SC",0.0,0.052739598
411,HIV outreach worker assaulted on home visit in Dhule,1.0,0.6023163
412,‘More breast milk banks needed’,0.0,0.08577096
413,Jipmer's 'ATM' for human milk completes two years,0.0,0.06773378
414,CITY ENGAGEMENTS (SATURDAY),0.0,0.44283196
415,"Police are scaring away sex workers, NGOs complain",1.0,0.52003986
416,13vjgvrPolice-G634BQ0NL3jpgjpg,1.0,0.7412754
417,14VJAPSACS,1.0,0.741295
418,"Police are scaring away sex workers, NGOs complain",1.0,0.5200496
419,How the LGBTQ rights movement in India gained momentum,1.0,0.75135887
420,The humanisation of medicine,0.0,0.17198737
421,Free viral load testing for people with HIV in Prakasam,0.0,0.0687597
422,Rock for a cause with Mellow Circle,1.0,0.8986459
423,Life after rescue,0.0,0.18588777
424,Rock for a cause,1.0,0.8330843
425,Life after rescue: in West Bengal's human trafficking hub,0.0,0.06573052
426,Key genes to impede HIV,0.0,0.10837416
427,Three northeastern States emerge as new HIV hotspots,0.0,0.06418461
428,Three northeastern States emerge as new HIV hotspots,0.0,0.06418328
429,THJC-HEALTH-AIDSUN,0.0,0.2643559
430,Infection worry,0.0,0.16702965
431,is there a row over Ayushman Bharat rates?,1.0,0.6889467
432,Free viral load testing for people with HIV in Prakasam,0.0,0.06875975
433,"World cup glee, billionaires and more",1.0,0.89880246
434,"Accept gay relationships; all suppression is wrong, says Supreme Court",0.0,0.44596598
435,"Parliament asked to bring law against lynching, SC says accept gay relationships, and other top stories of the day",1.0,0.63490564
436,Activists oppose draft anti-trafficking Bill,0.0,0.09311988
437,SC judge: accept gay relationships,1.0,0.6987279
438,"Accept gay relationships, says SC judge",1.0,0.658655
439,Activists oppose draft anti-trafficking Bill,0.0,0.09309434
440,Three in five HIV-carriers now have access to drugs: UN,0.0,0.07648537
441,THJC-HEALTH-AIDSUN,0.0,0.26433358
442,Three in five HIV-carriers now have access to drugs: UN,0.0,0.076483466
443,HIV outreach worker assaulted on home visit in Dhule,1.0,0.60231555
444,"‘Take good care of HIV, TB, leprosy sufferers’",1.0,0.63637185
445,Former MP Chennupati Vidya passes away,0.0,0.072275445
446,Former MP Chennupati Vidya dead,0.0,0.084467456
447,Former MP Chennupati Vidya dead,0.0,0.08446703
448,Jackie Shroff on thalassemia,1.0,0.6175655
449,WHO highlights ways to reduce cancer risk,0.0,0.4721744
450,WHO highlights ways to reduce cancer risk,0.0,0.47217658
451,Congress places its bets on hike in Aasra pensions,0.0,0.48638886
452,Congress places its bets on hike in Aasra pensions to take on TRS,1.0,0.57661104
453,Love is the core,1.0,0.8328812
454,Schools to appoint nodal officer to ensure ‘tobacco-free’ zones,1.0,0.92420405
455,Schools to appoint nodal officer to ensure ‘tobacco-free’ zones,1.0,0.9242175
456,8 more Byculla inmates admitted to JJ hospital,0.0,0.10593077
457,8 more Byculla inmates admitted to JJ hospital,0.0,0.10594319
458,"‘Complacency’ may lead to HIV resurgence, warn experts",0.0,0.3242631
459,Setbacks in quest for a cure to AIDS,1.0,0.5214354
460,Setbacks in quest for a cure to AIDS,1.0,0.5214425
461,Tackling HIV,0.0,0.16757752
462,Tackling HIV,0.0,0.16757686
463,Screening can control spread of Hepatitis C virus: doctors,0.0,0.23177673
464,Screening can control spread of Hepatitis C Virus: doctors,0.0,0.23177804
465,‘Problems galore for urban shelter homes’,1.0,0.9006764
466,‘Problems galore for urban shelter homes’,1.0,0.90068525
467,Café Positive is run by a crew of HIV+ men and women,0.0,0.06869936
468,Positively full of beans,1.0,0.87237126
469,Drug Control authorities seize unit selling blood plasma,0.0,0.27595982
470,Drug Control authorities seize unit selling blood plasma,0.0,0.27595982
471,‘Bill to protect Khasi women from outsiders’,0.0,0.08583723
472,‘Bill to protect Khasi women from outsiders’,0.0,0.08583772
473,A nut in the eye of a storm,1.0,0.8743383
474,The nut in the eye of a storm,1.0,0.87433815
475,Prisoners may soon get leave for conjugal visits,0.0,0.18975234
476,Alcohol intake doubles in 11 years,0.0,0.08432601
477,Prisoners may soon get leave for conjugal visits,0.0,0.18975201
478,Positive TB test ‘not always cause for worry’,1.0,0.6300841
479,Lessons from a neighbour,0.0,0.16772099
480,Lessons from a neighbour,0.0,0.16772264
