	Title
202	HIV, AIDS cases on the decline: officer
203	29mnudupiHIVGJ8526UP13jpgjpg
204	29novcbwgt1hivG13524G1S1jpgjpg
205	30cbHIV
206	Take that flu shot
207	An award matter
208	What you should know about the flu shot
209	Morning digest: Remembering 26/11, Kartarpur marks a fresh start, and other top stories of the day
210	5 held for selling adulterated blood
211	5 held for selling adulterated blood
212	IMA members to rally for stroke awareness
213	Screening to identify perinatal depression
214	‘Almost half the people with HIV yet to get ART’
215	02BGAIDS
216	44% of people with HIV yet to get ART
217	Poor response from students
218	IMA members to rally for stroke awareness
219	01bgbgyasHIV-G424TVKAJ3jpgjpg
220	NACO mulling over introducing PrEP among vulnerable groups
221	NACO mulling over introducing PrEP among vulnerable groups
222	A research hub for antibiotics resistance
223	There’s nothing about Freddie Mercury that’s choreographed, says Rami Malek on ‘Bohemian Rhapsody’
224	I want to break free
225	Freddie Mercury for the straight eye
226	SVR Ruia gears up for hepatitis control programme
227	‘HIV heightens risk of neuro emergencies’
228	‘4 BJP-ruled States took similar stand’
229	Bohemian Rhapsody review: Freddie Mercury for the straight eye
230	‘Centre, AAP govt not ensuring regular supply of HIV drugs’
231	‘Centre, AAP govt not ensuring regular supply of HIV drugs’
232	18DELPRIYAHIVRIBBON
233	Delhiites’ life expectancy reduced by 10 years due to pollution: report
234	IIT Roorkee team uses tamarind seed protein to treat chikungunya
235	‘Post-policy health conditions must be covered’
236	I want to break free
237	‘Post-policy health conditions must be covered’
238	I want to break free
239	I want to break free
240	Prisoners screened for HIV, TB
241	I want to break free
242	IIT Roorkee team uses tamarind seed protein to treat chikungunya
243	‘Lovesick’ documentary: the story behind matchmaking people with HIV
244	A research hub for antibiotics resistance
245	How queer-friendly is your medic?
246	How queer-friendly is your medic?
247	I want to break free
248	Healthcare for immigrants in 30 languages
249	Events in Bengaluru Today
250	GH to expand services for transgenders
251	Meme competition to create awareness on HIV/AIDS
252	Meme competition to create awareness on HIV/AIDS
253	How queer-friendly is your doctor?
254	How queer-friendly is your medic?
255	How queer-friendly is your medic?
256	Contract health workers to go on strike tomorrow
257	Award for The Hindu journalist for writing on mental health issues
258	Chinese academic claims to have gene-edited twins
259	Gene-edited baby claim sparks outrage
260	Hospital denies approving ‘gene-editing’ experiment
261	China scientist defends gene-editing babies
262	China scientist defends gene-editing babies
263	A sing-song rescue mission
264	HIV patients stopping treatment midway: official
265	Delhiites’ life expectancy reduced by 10 years due to pollution: report
266	H1N1 cases on the rise in Kerala
267	Take to AI, CSIR DG tells scientists
268	Take to AI, CSIR DG tells scientists
269	An award matter
270	26THHIVcol
271	HIV infected children likely to suffer cognitive impairment: study
272	What you should know about the flu shot
273	Why one needs to get vaccinated against flu
274	What you should know about the flu shot
275	HIV infected children likely to suffer cognitive impairment: study
276	What you should know about the flu shot
277	Kids getting inked worries parents
278	Memories that linger
279	‘Complacency’ may lead to HIV resurgence, warn experts
280	Jackie Shroff on thalassemia
281	How safe is CRISPR?
282	‘Less than 10% of those infected with viral hepatitis aware of disease’
283	How safe is CRISPR?
284	Rock and reminisce
285	Google extends support for Telugu language ads
286	27HYNRK02-GooglGF548HIV33jpgjpg
287	Helping the poor and needy with art
288	Women’s rights and personal choice
289	Jijo Kuriakose’s photos capture the chemistry between male bodies
290	School admissions under RTE begin
291	School admissions begin
292	Braving all odds, a life among the dead
293	U.S. Trade Representative again places India on ‘watch list’
294	Much ado about nothing
295	jyoti-hivARTGGOU40QKIQ1jpgjpg
296	Braving all odds, a life among the dead
297	Parents declare children as orphans to get RTE seat
298	Lankan Tamil refugee desperate to reunite with his father
299	Lankan Tamil desperate to reunite with his father
300	Call of the YOUNG
301	Parents declare children as orphans to get RTE seat
302	IIT Roorkee develops a potent molecule to treat chikungunya
303	IIT Roorkee develops a potent molecule to treat chikungunya
304	What if India hadn’t made friends with science?
305	Hi-tech vet lab in Kollam soon
306	Hi-tech vet lab in Kollam soon
307	What if India hadn’t made friends with science?
308	It begins with diagnosis
309	It begins with diagnosis
310	Exclusion of any kind is an act of violence
311	Exclusion of any kind is an act of violence
312	In need of a lifeline
313	In need of a lifeline: India's battle against TB
314	Tortured by your own thoughts
315	Tortured by your own thoughts
316	Quiz: on musicians and artistes
317	The drive to control hepatitis
318	Bringing about change, one step at a time
319	Bringing about change, one step at a time
320	Hyderabad transgenders join task force team
321	Ten unmissable films at Kashish
322	Ten unmissable films at Kashish
323	Ten unmissable films at Kashish
324	Ten unmissable films at Kashish
325	No city for homeless and destitute
326	No city for homeless and destitute
327	A remote U.P. village shines the torch on a lurking virus
328	A remote U.P. village shines the torch on a lurking virus
329	Village in U.P. shines the torch on a lurking virus
330	Punjab CM claims success in drive against drug menace
331	Punjab CM claims success in drive against drug menace
332	More castes in RTE Act’s underprivileged category
333	HIV deaths in Mumbai up by 61% in a year
334	19bmhivcol
335	HIV deaths in Mumbai up by 61% in a year
336	Easy like Sunday morning
337	SHRC orders probe into boy’s death
338	Plea against medical university’s PG courses
339	Plea against medical university’s PG courses
340	SC admits plea to quash Section 377
341	SC admits petition to quash Section 377
342	‘Reform medical education, build more colleges’
343	‘Reform medical education, build more colleges’
344	Much ado about nothing
345	HC slams ‘blatant discrimination’ against HIV patient
346	HC slams ‘blatant discrimination’ against HIV patient
347	Pay it forward, with pride
348	Pay it forward, with pride
349	‘Adhikar Mela’ organised in Gurugram
350	‘Adhikar Mela’ organised in Gurugram
351	HIV positive persons allege humiliation by official
352	Organ donation camp at wedding reception
353	Organ donation camp at wedding reception
354	Organ donation camp at wedding reception
355	Organ donation camp at wedding reception
356	Organ donation camp at wedding reception
357	These TV shows bring mental illness to the forefront
358	Conflicts of the mind
359	Women’s rights and choice
360	MSF aid workers used prostitutes in Africa: BBC report
361	‘MSF aid workers used prostitutes in Africa’
362	DoE directs school heads to organise events against drug abuse
363	DoE directs school heads to organise events against drug abuse
364	Plans afoot to digitise records of ART patients
365	The portrait of an artist
366	Plans afoot to digitise records of ART patients
367	HY27-GOOGLEINDIA
368	Google extends support for Telugu language ads
369	Conflicts of the mind
370	Conflicts of the mind
371	Conflicts of the mind
372	Conflicts of the mind
373	Conflicts of the mind
374	Conflicts of the mind
375	hiv testingJPG
376	Doctors bust myths on blood donation
377	Awareness rally held
378	Doctors bust myths on blood donation
379	APSACS, NACO launch screening tests for HIV
380	Between the lines at the Queer Chennai Chronicles
381	A melodious string theory
382	Between the lines
383	An NGO which is for, by, and of trafficking survivors
384	To hell, and back
385	A rugged body of work
386	A bit of Wonder Woman in Frida...
387	A bit of Wonder Woman in Frida...
388	A meeting of donors and beneficiaries
389	A meeting of donors and beneficiaries
390	A meeting of donors and beneficiaries
391	Donors meet beneficiaries
392	A meeting of donors and beneficiaries
393	Rough weekend for the prez: ‘The President is Missing’ by Bill Clinton & James Patterson reviewed by Zac O’Yeah
394	AIDS vaccine offers hope in early trial
395	HIV: Community-based treatment yields positive results in Prakasam
396	Now, another transgender dons legal robe
397	08brief2a
398	HIV: Community-based treatment yields positive results in Prakasam
399	09VJPAGE4HIVTESTING
400	08og-hiv-testinGS64AN4203jpgjpg
401	Gone girls: trafficked children of Yadadri
402	Gone girls: the trafficked children of Yadadri
403	Aspirin may help prevent HIV: study
404	THJC-12SMASPRIN1JPG
405	Aspirin may help prevent HIV: study
406	‘Why law to prevent discrimination against HIV patients not notified?’
407	A rainbow coalition
408	A rainbow coalition
409	‘Why law to prevent discrimination against HIV patients not notified?’
410	1,575 children in shelter homes were victims of sexual abuse: Centre to SC
411	HIV outreach worker assaulted on home visit in Dhule
412	‘More breast milk banks needed’
413	Jipmer's 'ATM' for human milk completes two years
414	CITY ENGAGEMENTS (SATURDAY)
415	Police are scaring away sex workers, NGOs complain
416	13vjgvrPolice-G634BQ0NL3jpgjpg
417	14VJAPSACS
418	Police are scaring away sex workers, NGOs complain
419	How the LGBTQ rights movement in India gained momentum
420	The humanisation of medicine
421	Free viral load testing for people with HIV in Prakasam
422	Rock for a cause with Mellow Circle
423	Life after rescue
424	Rock for a cause
425	Life after rescue: in West Bengal's human trafficking hub
426	Key genes to impede HIV
427	Three northeastern States emerge as new HIV hotspots
428	Three northeastern States emerge as new HIV hotspots
429	THJC-HEALTH-AIDSUN
430	Infection worry
431	is there a row over Ayushman Bharat rates?
432	Free viral load testing for people with HIV in Prakasam
433	World cup glee, billionaires and more
434	Accept gay relationships; all suppression is wrong, says Supreme Court
435	Parliament asked to bring law against lynching, SC says accept gay relationships, and other top stories of the day
436	Activists oppose draft anti-trafficking Bill
437	SC judge: accept gay relationships
438	Accept gay relationships, says SC judge
439	Activists oppose draft anti-trafficking Bill
440	Three in five HIV-carriers now have access to drugs: UN
441	THJC-HEALTH-AIDSUN
442	Three in five HIV-carriers now have access to drugs: UN
443	HIV outreach worker assaulted on home visit in Dhule
444	‘Take good care of HIV, TB, leprosy sufferers’
445	Former MP Chennupati Vidya passes away
446	Former MP Chennupati Vidya dead
447	Former MP Chennupati Vidya dead
448	Jackie Shroff on thalassemia
449	WHO highlights ways to reduce cancer risk
450	WHO highlights ways to reduce cancer risk
451	Congress places its bets on hike in Aasra pensions
452	Congress places its bets on hike in Aasra pensions to take on TRS
453	Love is the core
454	Schools to appoint nodal officer to ensure ‘tobacco-free’ zones
455	Schools to appoint nodal officer to ensure ‘tobacco-free’ zones
456	8 more Byculla inmates admitted to JJ hospital
457	8 more Byculla inmates admitted to JJ hospital
458	‘Complacency’ may lead to HIV resurgence, warn experts
459	Setbacks in quest for a cure to AIDS
460	Setbacks in quest for a cure to AIDS
461	Tackling HIV
462	Tackling HIV
463	Screening can control spread of Hepatitis C virus: doctors
464	Screening can control spread of Hepatitis C Virus: doctors
465	‘Problems galore for urban shelter homes’
466	‘Problems galore for urban shelter homes’
467	Café Positive is run by a crew of HIV+ men and women
468	Positively full of beans
469	Drug Control authorities seize unit selling blood plasma
470	Drug Control authorities seize unit selling blood plasma
471	‘Bill to protect Khasi women from outsiders’
472	‘Bill to protect Khasi women from outsiders’
473	A nut in the eye of a storm
474	The nut in the eye of a storm
475	Prisoners may soon get leave for conjugal visits
476	Alcohol intake doubles in 11 years
477	Prisoners may soon get leave for conjugal visits
478	Positive TB test ‘not always cause for worry’
479	Lessons from a neighbour
480	Lessons from a neighbour
481	Positive TB test ‘not always cause for worry’
482	Man kills daughters, attempts suicide
483	Man dies
484	India ranks 158th in ‘human capital’ score, behind Sudan
485	India ranks 158th in ‘human capital’ score, behind Sudan
486	Travel concessions worth Rs. 1,800 crore announced
487	06-DE-Rocky-DelGG74L5KOA3jpgjpg
488	Love wins the day
489	09THiStock-487773171
490	A decree of hope
491	Section 377: A decree of hope
492	09THBeingMainAG444LFMNS3jpgjpg
493	City engagements
494	Draft Charter of Patients’ Rights released
495	Draft Charter of Patients’ Rights released
496	Health Ministry issues notification to bring HIV/AIDS Act, 2017, into force
497	Travel concessions worth ₹1,800 crore announced
498	Countries pledge billions to fight tuberculosis worldwide
499	Beijing, Sept 29, 2018 (AFP) -
500	Mapping the road ahead, after Sec. 377 verdict
501	Mapping the road ahead, after Sec. 377 verdict
502	30th-China-HIVGI74OO67D3jpgjpg
503	Manaveeyam to buzz with ideas for change
504	Manaveeyam to buzz with ideas for change
505	Sweekar: The Rainbow Parents is a support group for parents of LGBTQ+ community members
506	Agents of change from Africa
507	Agents of change from Africa
508	Something to tell you
509	sundayformondayGE84MIMVJ3jpgjpg
510	Chennai Today
511	Chennai Today
512	Aurobindo’s HIV drug gets SAHPRA nod
513	Aurobindo’s HIV drug gets SAHPRA nod
514	Protecting persons with HIV/ AIDS
515	Protecting persons with HIV/ AIDS
516	Ban drugs and formication!
517	Ban drugs and formication!
518	Ban drugs and formication!
519	Ban drugs and formication!
520	Alcohol intake in India doubles in 11 years
521	Sowing the seeds of entrepreneurship
522	A nut in the eye of a storm
523	31hyrrr01-EntreGBS4K7HIV3jpgjpg
524	HY31-PHANINDRA1
525	BONORED
526	U2 lead singer Bono loses voice during Berlin show; concert rescheduled
527	Draft charter of Patients’ Rights released
528	SC verdict leaves LGBTQ community in ‘tears of joy’
529	Govt. should have taken a stand on Section 377: judge
530	‘Discrimination must be addressed without delay’
531	NACO releases HIV Estimations 2017 report
532	‘Wiping out AIDS by 2030 will not be easy’
533	14-bindu-HIVAIGT84MBSUJ1jpgjpg
534	14-bindu-HIVAIGT84MBSUG1jpgjpg
535	Mikudu team wins The Hindu BusinessLine Cerebration Quiz
536	Mikudu team wins The Hindu BusinessLine Cerebration Quiz
537	UN agrees on global plan to battle TB
538	th21-jacob-koshGKG1V1EAN3jpgjpg
539	A positive, stigma-free approach to treatment
540	DE16BINDU
541	A positive, stigma-free approach to treatment
542	01SM1Cover1
543	Farming, housing priority areas
544	Farming, housing priority areas
545	Cheyyar GH gets high-tech tool to diagnose TB
546	Trump order would ban most transgender troops from serving
547	The spin doctors: India’s quacks imperil lives, but are ‘god’ to their patients
548	Cheyyar GH gets high-tech tool to diagnose TB
549	spin doctors
550	spin doctors
551	Medical misadventures
552	01SM-P1-ISHITAGN23MSOG74jpgjpg
553	Washington, April 3, 2018 (AFP) -
554	Women-friendly Budget for local body
555	Palliative care centre at Gajwel soon
556	Palliative care centre at Gajwel soon
557	Helping the HIV+ tie the knot
558	Mumbai charity gets a royal mention
559	Mumbai charity gets a royal mention
560	Child who ‘contracted’ HIV at RCC is dead
561	Green the BLUE
562	‘More men than women have TB in Haryana’
563	Araku Valley’s dark secret
564	23BGVIJAYAPURAKITTURHIV
565	A saviour for those with HIV
566	TB cases: erring private hospitals warned
567	Araku Valley’s dark secret
568	HEALTH-HIV-ANTIBODY
569	Scary until oversimplified
570	Case against disqualified legislator
571	SRM invites applications for B.Tech, B.Arch
572	AI system may help check TB spread in India
573	02thPariReviewGE93HIV1I3jpgjpg
574	3bm-pg5-Hindi-fGE93HIV1I6jpgjpg
575	Russian bashing done wrong
576	Moment of reckoning
577	Moment of reckoning
578	Chilavannoor Bund Road to be widened to ease chaos at Vyttila
579	What it takes to change
580	Blood donation drive
581	06th-HEALTH-HIVGGG3I3COL3jpgjpg
582	What it takes to change
583	WHO launches plan for cheaper TB drugs
584	Despite clause, services continue to be denied over Aadhaar
585	Death by denial
586	Despite clause, services continue to be denied over Aadhaar card
587	Over 2,500 people participate in Mega Legal Services Camp
588	Over 2,500 people participate in Mega Legal Services Camp
589	Five undertrials test positive for HIV
590	Child who ‘contracted’ HIV at RCC is dead
591	City’s top ailments: diabetes, hypertension
592	Karnataka HC fiat to government
593	TB treatment may leave some patients contagious: study
594	RCC told to preserve girl’s blood samples
595	An unequal fight
596	City’s top ailments: diabetes, hypertension
597	Preserve blood samples of girl, HC tells RCC
598	Applications for admission under RTE Act invited
599	EMA to study Biocon bid to sell biosimilars in Europe
600	Call for greater awareness on AIDS
601	HIV project of SVYM bags award
602	New hospice
603	Processions, meetings mark National Youth Day
604	Roche arm offers blood test aid to TN
605	Roche arm offers blood test aid to TN
606	5K run to create HIV awareness on Dec. 3
607	13 men, 12 months, one calender
608	Jipmer signs memorandum with Morocco hospital
609	IISc: HIV drug elvitegravir lowers the efficiency of immune system
610	Jipmer signs memorandum with Morocco hospital
611	IISc: HIV drug elvitegravir lowers the efficiency of immune system
612	‘Pneumonia bigger killer than many infectious diseases’
613	Protest by HIV-positive persons
614	Myth of the Blue Whale
615	Myth of the Blue Whale
616	In a first, gene therapy halts a fatal brain disease
617	‘Promising research to find cure to HIV under way’
618	‘Promising research to find cure to HIV under way’
619	Myth of the Blue Whale
620	HIV-interviewTG7H2KBM3D3jpgjpg
621	Myth of the Blue Whale
622	‘CMC keen on adapting to changing health needs’
623	Take care of your liver
624	Cancer, AIDS and other evil villains
625	Glitches disrupt 104 Arogyavani services
626	Cancer, AIDS and other evil villains
627	Glitches disrupt 104 Arogyavani services
628	HIV/AIDS prevention steps to be intensified
629	HIV/AIDS prevention steps to be intensified
630	TCIS students celebrate Deepavali
631	Trump declares U.S. opioid emergency but pledges no new money
632	TH-30-AIDSDAY1
633	Myth of the Blue Whale
634	Myth of the Blue Whale
635	Myth of the Blue Whale
636	Running to a positive attitude
637	Depression among HIV-infected women under-diagnosed: Study
638	‘Focus should be on scaling up the use of innovations’
639	Running to a positive attitude
640	Focus should be on scaling up the use of innovations, says Soumya Swaminathan
641	in brief
642	Medical officer suspended over viral fever deaths
643	Running to a positive attitude
644	Running to a positive attitude
645	Medical officer suspended over viral fever deaths
646	10bgmranjininewG0D2K87533jpgjpg
647	6773HI-W07311RGJ42L4HIV3jpgjpg
648	‘Pneumonia bigger killer than many infectious diseases’
649	‘Our political issues must not affect health care’
650	‘Our political issues must not affect health care’
651	Collector to act tough against encroachers
652	Collector to act tough against encroachers
653	Planting the seeds for a brighter future
654	surveyGIV2T9LDI1GS02T8K7J3jpg
655	Sabarmati Global School raises funds for a cause
656	In vitro diagnostics: AMTZ to host WHO’s pre-qualification cell
657	MumbaiCITYART3GUO2TJC8Q3jpgjpg
658	Quack held
659	Another hoax message on social media
660	Sporty teens run to a positive attitude
661	Another hoax message on social media
662	Orphaned kids enjoy shopping, thanks to philanthropists
663	A new anti-HIV strategy
664	A new anti-HIV strategy
665	16INTHROHVS3
666	In Pictures: Bengaluru’s Vidhana Soudha at 60
667	‘CMC keen on adapting to changing health needs’
668	Lodhivali fears Ambani hospital may close down
669	Lodhivali fears Ambani hospital may close down
670	Puppetry in Odisha: who is pulling the strings?
671	The world of superbugs
672	Love, with strings attached
673	WHO releases guidelines on responding to child sex abuse
674	Report on sex workers kept in cold storage
675	A positive step
676	WHO releases guidelines on child sex abuse
677	Report on sex workers kept in cold storage
678	Make way for this Indian
679	Chinese politburo's seven mandarins
680	Make way for this Indian
681	HIV stigma keeps students off anganwadi
682	Experimental vaccine may protect against HIV
683	Experimental vaccine may protect against HIV
684	th-30--HIV-VACCGPA2OHEIP3jpgjpg
685	The war on TB
686	The war on TB
687	Say ‘no’ to slavish mentality, women told
688	‘Foods for healthy heroes’
689	‘I use fiction like we use clothes’
690	Winners of Infosys Prize for Science announced
691	Hetero to launch generic drug for HIV
692	Winners of Infosys Prize for Science announced
693	Mylan launches FDC drug for HIV
694	'120 BPM' wins Golden Peacock at IFFI 2017
695	Oral health camp held for children infected with HIV
696	Oral health camp held for children infected with HIV
697	Santa Claus is coming to town
698	HIV stigma keeps students off anganwadi
699	A positive step
700	HIV figures show sharp decline
701	30tv HIV
702	01bgbgyasHIVG0C2VD3DQ1jpgjpg
703	Treatment proves elusive for Karnataka HIV/AIDS patients
704	World AIDS Day observed in Kannur
705	Campus Connect
706	Do not discriminate against AIDS patients, urges judge
707	Only few CD4 machines for HIV/AIDS patients
708	World AIDS Day observed
709	MRR/CHENNAI TODAY FOR DECEMBER 09 (SATURDAY) FOR CHENNAI CITY FOR PAGE 4
710	Medical centre wrongfully declares man HIV-positive
711	Medical centre wrongfully declares man HIV-positive
712	Banks can’t charge patients with blood disorders
713	Research scholars bag Taiwan University fellowship
714	Banks can’t charge patients with blood disorders
715	A lakh Christmas gifts in city: Mayor
716	Don’t mess with Santa
717	HIV prevention project
718	One virus, an unequal life
719	Aadhaar linking: CJI frowns upon hyperbole
720	13 men, 12 months, one calendar
721	13 men, 12 months, one calendar
722	Aadhaar linking: CJI frowns upon hyperbole
723	13 men, 12 months, one calendar
724	13 men, 12 months, one calendar
725	13 men, 12 months, one calendar
726	Hospice inaugurated
727	Hospice inaugurated
728	Lawyers boycott courts
729	HIV/AIDS stigma fast disappearing: Minister
730	‘Increasing awareness is key to reducing incidence of HIV, AIDS’
731	On guard against HIV
732	World Aids Day: rally held
733	Awareness programmes on AIDS
734	Not enough CD4 machines for HIV/AIDS patients to access treatment
735	Time to focus on AIDS awareness: Narayanasamy
736	In numbers: World AIDS Day 2017
737	EMA to study Biocon bid to sell biosimilars in Europe
738	HIV prevalence rate declines in Coimbatore
739	01frsony-bbcAG9U2U2RUS3jpgjpg
740	MumbaiCITYMumG8F2V570N3jpgjpg
741	Event salutes ‘leaders’ in fight against AIDS
