name,date,location,category,body
Nations agree on milestone rulebook for Paris climate treaty,2018-12-16,KATOWICE,"News,World News,Europe News","KATOWICE: Nations on Sunday struck a deal to breathe life into the landmark 2015 Paris climate treaty after marathon UN talks that failed to match the ambition the world's most vulnerable countries need to avert dangerous global warming.Delegates from nearly 200 states finalised a common rule book designed to deliver the Paris goals of limiting global temperature rises to well below two degrees Celsius (3.6 Fahrenheit ).""Putting together the Paris agreement work programme is a big responsibility,"" said COP24 president Michal Kurtyka as he gavelled through the deal after talks in Poland that ran deep into overtime.""It has been a long road. We did our best to leave no one behind."" But states already dealing with devastating floods, droughts and extreme weather made worse by climate change said the package agreed in the mining city of Katowice lacked the bold ambition to cut emissions the world needed.Egyptian ambassador Wael Aboulmagd, chair of a the G77 & China negotiating bloc, said the rule book saw the ""urgent adaptation needs of developing countries relegated to a second-class status.""Executive director of Greenpeace Jennifer Morgan said: ""We continue to witness an irresponsible divide between the vulnerable island states and impoverished countries pitted against those who would block climate action or who are immorally failing to act fast enough.""The final decision text was repeatedly delayed as negotiators sought guidelines that could ward off the worst threats posed by our heating planet while protecting the economies of rich and poor nations alike.""Without a clear rulebook, we won't see how countries are tracking, whether they are actually doing what they say they are doing,"" Canada's Environment Minister Catherine McKenna told AFP.At their heart, negotiations were about how each nation funds action to mitigate and adapt to climate change, as well as how those actions are reported.Developing nations wanted more clarity from richer ones over how the future climate fight will be funded and pushed for so-called ""loss and damage"" measures.This would see richer countries giving money now to help deal with the effects of climate change many vulnerable states are already experiencing.Another contentious issue was the integrity of carbon markets, looking ahead to the day when the patchwork of distinct exchanges -- in China, the Europe Union, parts of the United States -- may be joined up in a global system.The Paris Agreement calls for setting up a mechanism to guard against practices, such as double counting emissions savings, that could undermine such a market. A major sticking point, delegates eventually agreed Saturday to kick the issue down the road until next year.One veteran observer told AFP Poland's presidency at COP24 had left many countries out of the process and presented at-risk nations with a ""take it or leave it"" deal.Progress had ""been held up by Brazil , when it should have been held up by the small islands. It's tragic."" One of the largest disappointments for countries of all wealths and sizes was the lack of ambition to reduce emissions shown in the final COP24 text.Most nations wanted the findings of the Intergovernmental Panel on Climate Change (IPCC) to form a key part of future planning.It highlighted the need to slash carbon pollution by nearly half before 2030 in order to hit the 1.5C target. But the US, Saudi Arabia , Russia and Kuwait objected, leading to watered-down wording.The final statement from the Polish COP24 presidency welcomed ""the timely conclusion"" of the report and invited ""parties to make use of it"" -- hardly the ringing endorsement many nations had called for.""There's been a shocking lack of response to the 1.5 report,"" Greenpeace's Morgan, told AFP. ""You can't come together and say you can't do more!"" UN Secretary-General Antonio Guterres, who made three trips to Katowice over the course of the talks, said the world's climate fight was just beginning.""From now on my five priorities will be: Ambition, ambition, ambition, ambition, ambition,"" he said in a message read out by UN climate chief Patricia Espinosa.With the political climate process well into its third decade sputtering on as emissions rise remorselessly, activists have stepped up grassroots campaigns of civil disobedience to speed up action.""We are not a one-off protest, we are a rebellion,"" a spokesman for the Extinction Rebellion movement, which disrupted at least one ministerial event at the COP, told AFP.""We are organising for repeated disruption, and we are targeting our governments, calling for the system change needed to deal with the crisis that we are facing."""
Ambulance driver’s humane touch,2018-12-17,"The inability of a woman to pay for an ambulance that brought home her son’s mortal remains nearly two decades ago struck a deep chord with Pune-based ambulance driver Sanjay Shankar Jagtap He launched a trust called Shuddhidhan Pratishtan in an endeavour to provide free ambulance services to the needy.Over the last 18 years as an ambulance driver, Jagtap has gone out of his way to help many old, ailing and abandoned persons go back to their families and helped police transport accident victims to hospitals.He has played a key role in reuniting nearly 70 abandoned patients with their families, sometimes resorting to threatening the families to take them back. Along with his friend Mahadev Kishanrao Pol, Jagtap has earned thousands of blessings by his small gestures.“I used to work as a mason till 2001 when my brother, who was an ambulance driver, unable to earn enough, drank poison. I saved him and then started driving the ambulance myself. Soon after, I took over the ambulance, I was informed about a boy who had drowned in Katraj Lake. The police and fire-brigade recovered the body and I took it to Sassoon General Hospital for a postmortem and then to his home. His mother did not have money to pay me for the ambulance services. It moved me so much that I launched my trust for people who cannot pay for these services.”According to Jagtap, while working at Sassoon hospital , he came across social worker MB Shelke. “Shelke told me about abandoned patients. He said he would bear the diesel costs if I started locating the homes of the abandoned patients and ensured that they reached home. I started helping these patients. I have come across several cases wherein patients were abandoned by their families and some cases wherein the patient was assumed dead,” he said.Jagtap can never forget Haribhau Khutwad. “He was from Dapoli and we drove down there and roamed around the town for an entire day in search of his residence. We found out that he had provided us with the wrong address. We were able to identify the house where his son stayed with his in-laws. On reaching the house, the son told us that he will give us the address of their native village where Khutwad should be dropped. On enquiry, I found out that there was no one to support him at his native village. I then threatened his son with a police complaint if he abandoned his father. That was when the son took him back,” Jagtap said.He also remembered an AIDS patient, Hirabai Chorge, who was brought to Sassoon Hospital some years ago after people found her unconscious at Alandi. “She underwent treatment and asked to be taken to her sister’s house. On reaching the sister’s house, she refused to take her, saying that Chorge was survived by her son, daughter and mother-in-law. We reached the house to find it locked and understood that the son had taken her to Alandi and abandoned her there. I spoke to the local boys in the area, who had been informed that Chorge was living in an old-age home. I told them what the son had done, after which the friends m and ensured he was taken y the family.” Jagtap said e has come cross instances when amilies do not want to ven sit with e mortal reins in the ulance.remember e was a dengue outbreak in the city and a patient had died. The family did not want to step into the ambulance. I had to carry the body to the ambulance and drive it to the crematorium by myself while the family members came in their private cars. In another incident of murder, the body was lying in the ambulance for 14 days before I drove it to Baramati for the last rites,” he stated.According to Jagtap, he has received letters of appreciation from hospitals and individuals who have been helped by Shuddhidhan Pratishtan.“I provide free ambulance services throughout Ganeshotsav. I had accompanied a team from Bharati Vidyapeeth to Sangli when it was struck by floods. I used to transport differentlyabled persons to Tarachand Hospital in Rasta Peth for two years when they had a special camp going on,” he explained.Jagtap said he plans to work for the needy as long as possible. ""My son recently started working in a bank and my other child is studying at MIT. While they have got on with their lives, I plan to continue driving the ambulance and my work under the Shuddhidhan Pratishthan for as long as I live,"" he added.","News,City News,Pune News","The inability of a woman to pay for an ambulance that brought home her son’s mortal remains nearly two decades ago struck a deep chord with Pune-based ambulance driver Sanjay Shankar Jagtap He launched a trust called Shuddhidhan Pratishtan in an endeavour to provide free ambulance services to the needy.Over the last 18 years as an ambulance driver, Jagtap has gone out of his way to help many old, ailing and abandoned persons go back to their families and helped police transport accident victims to hospitals.He has played a key role in reuniting nearly 70 abandoned patients with their families, sometimes resorting to threatening the families to take them back. Along with his friend Mahadev Kishanrao Pol, Jagtap has earned thousands of blessings by his small gestures.“I used to work as a mason till 2001 when my brother, who was an ambulance driver, unable to earn enough, drank poison. I saved him and then started driving the ambulance myself. Soon after, I took over the ambulance, I was informed about a boy who had drowned in Katraj Lake. The police and fire-brigade recovered the body and I took it to Sassoon General Hospital for a postmortem and then to his home. His mother did not have money to pay me for the ambulance services. It moved me so much that I launched my trust for people who cannot pay for these services.”According to Jagtap, while working at Sassoon hospital , he came across social worker MB Shelke. “Shelke told me about abandoned patients. He said he would bear the diesel costs if I started locating the homes of the abandoned patients and ensured that they reached home. I started helping these patients. I have come across several cases wherein patients were abandoned by their families and some cases wherein the patient was assumed dead,” he said.Jagtap can never forget Haribhau Khutwad. “He was from Dapoli and we drove down there and roamed around the town for an entire day in search of his residence. We found out that he had provided us with the wrong address. We were able to identify the house where his son stayed with his in-laws. On reaching the house, the son told us that he will give us the address of their native village where Khutwad should be dropped. On enquiry, I found out that there was no one to support him at his native village. I then threatened his son with a police complaint if he abandoned his father. That was when the son took him back,” Jagtap said.He also remembered an AIDS patient, Hirabai Chorge, who was brought to Sassoon Hospital some years ago after people found her unconscious at Alandi. “She underwent treatment and asked to be taken to her sister’s house. On reaching the sister’s house, she refused to take her, saying that Chorge was survived by her son, daughter and mother-in-law. We reached the house to find it locked and understood that the son had taken her to Alandi and abandoned her there. I spoke to the local boys in the area, who had been informed that Chorge was living in an old-age home. I told them what the son had done, after which the friends m and ensured he was taken y the family.” Jagtap said e has come cross instances when amilies do not want to ven sit with e mortal reins in the ulance.remember e was a dengue outbreak in the city and a patient had died. The family did not want to step into the ambulance. I had to carry the body to the ambulance and drive it to the crematorium by myself while the family members came in their private cars. In another incident of murder, the body was lying in the ambulance for 14 days before I drove it to Baramati for the last rites,” he stated.According to Jagtap, he has received letters of appreciation from hospitals and individuals who have been helped by Shuddhidhan Pratishtan.“I provide free ambulance services throughout Ganeshotsav. I had accompanied a team from Bharati Vidyapeeth to Sangli when it was struck by floods. I used to transport differentlyabled persons to Tarachand Hospital in Rasta Peth for two years when they had a special camp going on,” he explained.Jagtap said he plans to work for the needy as long as possible. ""My son recently started working in a bank and my other child is studying at MIT. While they have got on with their lives, I plan to continue driving the ambulance and my work under the Shuddhidhan Pratishthan for as long as I live,"" he added."
"Tamil Nadu: 20,000 teenage pregnancies reported in nine months in Tamil Nadu",2018-12-18,CHENNAI,"News,City News,Chennai News,Civic Issues","CHENNAI: The pregnancy rate of teenage girls in Tamil Nadu is staggering. Officials in the Directorate of Public Health pointed out that 20,000 cases of teenage pregnancies -- below 18 years of age -- were recorded between April and December 12 this year.“The 20,000 number was derived from the registrations made on the Pregnancy and Infant Cohort Monitoring and Evaluation (PICME) database during these months since it is now mandatory for mothers to register under this tool to avail benefits. This is the first time that teenage pregnancies are being extensively documented in the state,” said Darez Ahamed, director, National Health Mission, Tamil Nadu, and Commissioner of Maternal and Child Health.He said the average age group of pregnant girls was between 16 and 18 and most were married. He also added that most of the teens did not opt for abortion “The number is miniscule. But most want to continue their pregnancy. We keep a close watch on them since they are a high-risk group,” he said.However, figures from the department of social welfare and nutritious meal programme revealed that only 6,965 child marriages had been reported and thwarted by district social welfare officers between 2008 and 2018.“There is more of a health crisis than a social one,” said Vidya Reddy, co-founder of Tulir -- Centre for Prevention and Healing of Child Sexual Abuse.She said there was a dire need to educate children, especially young girls, about their sexual and reproductive rights.“Unlike boys, how many girls have access to birth control? Where will she go? What will she ask for? As long as you don't give children access to information and access birth control , they will be dependent on boys. Then there is no point talking about this huge number,” she said.A study by the International Institute of Population Studies also highlighted the dire need to educate children in the country about sexual health.It said that there was restricted awareness on topics such as sex and pregnancy, contraceptive methods, sexually transmitted diseases and HIV/AIDS and the conditions under which abortion was legally available and restricted.T K Shaanthy Gunasingh, a gynecologist and president of the Obstetric and Gynaecological Society of Southern India, highlighted several health risks involved during teenage pregnancy.“Girls at this age are not mentally and physically prepared to have children. And since they are still growing, their bones would not have formed well, which can result in operative deliveries. They are also prone to hypertensive disorders which can be hazardous to both the mother and the baby,” she said.“Education on sexual and reproductive health must be mandatorily provided in all schools,” she added."
West bengal: Women’s panel: No aid for HIV patient,2018-12-18,NEW DELHI,"News,City News,Bhubaneswar News,Civic Issues","NEW DELHI: Physical torture of inmates in West Bengal , no medical aid for HIV patient in Odisha and no treatment for mentally-challenged women in Uttar Pradesh were some of the key findings of the women’s commission during inspection of shelter homes in these states.The inquiry committee appointed by the National Commission for Women inspected five Swadhar Greh in West Bengal, eight in Odisha, eight in Karnataka and five in Uttar Pradesh.Out of 26 Swadhar Greh, only one is running as per the guidelines of the scheme, according to the report submitted to the NCW by the inspection committee. These rehabilitation centres were either Centre-funded or NGO-run short-stay homes for the sexually abused and destitute.In Uttar Pradesh, mentally-challenged inmates were found living in these homes but there was no sign of any treatment for them, “who are rolling on the floor at the time of inspection”.In West Bengal, the inmates complained that they are subjected to physical torture by the counselor of the Swadhar Greh. “Seven of the inmates are mentally-challenged women and the Swadhar Greh is like a congested prison. The building, kitchen and rooms are dirty and unhygienic,” the report on the condition of the shelter home in West Bengal said.In Odisha, one inmate with a child, a trafficking case, complained to the committee that she is a HIV patient and the NGO is not providing any medication to her. “Though, she wants to go back to her parents, she was forced to stay back in the Greh by the NGO,” the report said.Women’s commission chairperson Rekha Sharma proposed introduction of a system like uploading the up-to-date data of inmates on the website of women and child development department. pti"
MLA opens renovated Jyothis centre at Kozhikode Govt Medical College,2018-12-18,KOZHIKODE,"News,City News,Kozhikode News","KOZHIKODE: A Pradeep Kumar MLA inaugurated the renovated Jyothis Centre ( Integrated Counselling and Testing Centre ) and state Reference laboratory at Kozhikode Government Medical College campus here on Tuesday.The centre was closed down following reporting of a fire mishap in the centre last month. The centre was damaged in the fire mishap. The fund of the Kerala State AIDS Control Society was utilised for the renovation of the centre which is used by people in Malabar to conduct HIV test and counselling. More than 1000 persons from the five districts of Kozhikode, Malappuram, Wayanad , Kannur and Kasaragod approaches the Jyothis centre to conduct HIV tests and counselling.A total of 40 jyothis centres have been functioning in the various parts of the district. The jyothis centre are attached to various government and private hospitals, district hospital, general hospital and Taluk and community health centres.Dr V R Rajendran, medical college principal presided over the function. District AIDS Control officer Dr P P Pramod Kumar , Medical college hospital superintendent Dr K G Sajith Kumar, Dr Beena Philomena, head of the department of Microbiology and others attended the functio"
‘Zero HIV surveillance centre’ opened for transgender people,2018-12-19,Thiruvananthapuram,,"Thiruvananthapuram: The state social welfare board with the support of Dale View, an NGO, and funded by state social justice department, has opened a ‘zero HIV surveillance centre’ for the welfare of transgender people in the city.Health and social justice minister K K Shailaja inaugurated the centre, the first of its kind in the state, which is being launched on an experimental basis, at a function held here on Wednesday. “The government is implementing various projects for the welfare of transgender people, and this centre is one among such projects,” the minister said. She said the aim of the government is to resolve the issue of accessibility of medical care for transgender persons and such centres will provide them easy access to quality healthcare.The project aims to prevent spread of HIV among transgender people, to conduct regular medical check-ups and syphilis screening tests, for referring HIV tests to ICTC centres and to educate community members on the infection. Medicines for persons identified with diseases will also be given for free. The project will benefit 308 persons belonging to the transgender community, who reside in Thiruvananthapuram. The beneficiaries have been identified as part of the transgender health intervention project implemented in the district.The state government has allocated Rs 19.8 lakh per annum for running the centre. Under the project, there will be clinics functioning at Attingal, Nedumangad, Kadinamkulam, East Fort and Neyyattinkara.Vattiyoorkavu MLA K Muraleedharan was the chief guest at the function, which was presided over by social welfare board chairperson Susan Kody. As part of the event a medical camp for transgender persons was also organized."
World AIDS Day observed in DMCH,2018-12-02,Ludhiana,"News,City News,Chandigarh News","Ludhiana: World AIDS Day was observed on Saturday in the Medicine OPD of the Dayanand Medical College and Hospital (DMCH). Dean (Academics) Dr Rajoo Singh Chhina addressed the gathering of patients and their attendants present in the OPD. In his message, Dr Chhina said: “With the passage of time, awareness regarding AIDS has increased, and there have been less cases of patients suffering from HIV/AIDS. The main problem prevalent in our society is that there is a lot of social stigma attached to AIDS patients. There are many myths which people follow while dealing with people suffering from AIDS, like avoiding talking to them or shaking hands with them, treating them like social outcasts.”Students from College of Nursing and Para Medical Sciences performed a play in which they beautifully depicted an AIDS awareness programme. Other faculty members present on the occasion included Dr Sunil Kumar Gupta (professor and head of Dermatology), Dr Dinesh Jain (professor of Medicine), Dr Veenu Gupta, Dr Rama Gupta, and Dr Jyoti Chaudhary (all from Department of Microbiology)."
‘Important to know your status via HIV test’,2018-12-02,AURANGABAD,,"AURANGABAD: School and college students participated in a rally themed ‘know your status’ that was conducted by the district civil hospital on Saturday to mark World AIDS Day.A kilometre long foot march was flagged off in the morning from Kranti Chowk and culminated at Marathwada Sanskrutik Mandal Ground in Khadkeshwar. Deputy director of health services Swapnil Lale, Government Medical College and Hospital (GMCH) dean Kanan Yelikar, district civil surgeon Sundar Kulkarni, Maharashtra State Aids Control Society and NGOs working in prevention and control of AIDS participated in the rally.During the rally, participants distributed leaflets raising awareness about AIDS. Students presented street plays to showcase the theme of the rally. “Everybody should know their status by getting undergoing a HIV test. This was the message conveyed through the street play,” said Kulkarni.Speaking to TOI, Kulkarni said the prevalence of AIDS in Aurangabad district was lesser compared to Ahmednagar and Nashik . “There are less than 1% patients with AIDS in Aurangabad. Pilgrim destinations in both the districts were to be blamed for the high prevalence rate of AIDS,” he said adding that the District AIDS Prevention and Control Unit (DAPCU) continued to undertake frequent drives to screen people involved in travelling jobs and expecting mothers.“If expecting mothers are tested positive during their pregnancy check-ups, we can prevent the infection from being passed on to the child,” said Kulkarni.According to figures provided by DAPCU’s Mangesh Gaikwad, 13,057 persons have tested positive for HIV from 2007 to 2018 but the figure has nosedived significantly over the years.Currently, ART centres at GMCH and at Paithan provide treatment to the affected patients. Kulkarni said the district civil hospital would soon open an ART centre."
"On AIDS Day, street plays & rallies in Bhopal",2018-12-02,BHOPAL,"News,City News,Bhopal News,Civic Issues","BHOPAL: Slogans like ‘Jaage aur jagayein hum- AIDS ko door bhagayein hum’, ‘Naujawan hain nadaan nahin, HIV se anjaan nahin’ rent the air as colleges students staged street plays and awareness rallies on the World AIDS Day here on Saturday.Carrying colourful banners, students staged ‘nukkad natak’ at different locations in the city. Supported by Madhya Pradesh State AIDS Control Society (MPSACS) and National Service Scheme ( NSS ), girls of Sant Hirdaram Girls College performed a street play at the New Market Square explaining the causes behind HIV/AIDS and preventive measures.An awareness rally was organised from New Market to Anand Vihar Kanya College. Sporting red-ribbons, students of Satya Sai Kanya College, Sant Hirdaram College and Anand Vihar College also formed a human chain on the Link Road.“There has been a considerable decrease in the discrimination and stigma attached with HIV-infected people. People are more willing to talk about it today. It’s important to be supportive towards people who are fighting this battle. Young people should be encouraged for voluntary blood donation,” said Rakesh Munshi, project director, Madhya Pradesh State AIDS Control"
Citizens urged to get tested for HIV: Citizens urged to get tested for HIV,2018-12-02,CHANDIGARH,"News,City News,Chandigarh News,Civic Issues","CHANDIGARH: To mark World AIDS Day, the State AIDS Control Society (SACS), Chandigarh, organized an awareness programme at Elante Mall on Saturday.The aim of the event was to sensitize people from all walks of life on HIV/AIDS and motivate them to come forward and get tested to know about their HIV status while ensuring that all HIV positive cases are put on treatment.The two-day programme was inaugurated by prominent Punjabi Singers Ali Brothers and Sandeep Brar along with UT health services director Dr G Dewan and SACS project director Dr Vanita Gupta.In Chandigarh, there are around 6,303 HIV patients seeking treatment at various facilities. The global goal is to end AIDS by 2030. Towards this, a combined effort is being made to reach the target of 90:90:90 by 2020. The first '90' indicates that at least 90% of the HIV positive population should know their status so that they take treatment and ensure a long, healthy life and stop HIV transmission. To achieve the first 90, free HIV counselling and screening was provided to the visitors at Elante Mall.""This day provides an opportunity to reaffirm our commitment to the cause of HIV prevention and treatment, draw attention on the global HIV epidemic, to raise awareness and remember those who have died, to show solidarity with the people living with it, and to celebrate survival and health,"" said an organiser."
HIV positive Gujarati man working to fight deadly virus,2018-12-02,VADODARA,"News,City News,Vadodara News","VADODARA: He was in school when he started facing discrimination from his friends and teachers after his photo appeared in newspapers with a Congress leader.The photo revealed to the world that Chinmay Modi, an alumnus of social work faculty of MS University, was infected with human immunodeficiency virus (HIV). Modi and his parents’ lives changed overnight in 2002 when all three had tested positive for HIV Born and brought up in Surat, Modi, after the photo was published, had to face a volley of questions not only from his friends and classmates, but also from his teachers. Modi’s friends used to tell him that they have been instructed by their parents not to meet or talk to him. Modi said some of them even questioned him why he was studying since people living with HIV positive die early.Modi started questioning himself then, but now Modi laughs at the discriminatory treatment meted out to him. “I never complained regarding discrimination at home, because there used to be sadness all the time. However, a few years later my parents and I had discussion about it and our relations changed since then,” said Modi, who now works with Global Youth Network of People Living with HIV.After finishing his postgraduation from MSU in 2016, Modi became a full-time activist working for people living with HIV positive. He joined National Coalition of People Living with HIV in India and currently works with Global Youth Network of People Living with HIV (Y+ network).Modi’s job is to prepare teenagers living with HIV positive for treatment.At Y+ network, Modi is entrusted with responsibilities of Zambia, Nigeria, Burundi and South Africa."
Dip in HIV-infected pregnant women in Madurai: Collector,2018-12-02,MADURAI,"News,City News,Madurai News","MADURAI: Incidence of HIV infection in Madurai district has come down from 0.15 % during 2009-2010 to 0.05 % in 2018 – 2019 among pregnant mothers. Over 3,000 pregnant women are tested and counselled for HIV/AIDS every month in the district, said district collector S Natarajan.He was speaking at World AIDS Day seminar at Madurai Medical College after flagging off an awareness rally in which over 800 school and college students participated. The collector said people with HIV/AIDS were being offered welfare measures . As many as 194 people were receiving educational assistance to the tune of Rs 4.51 lakh while 244 women were getting widow pensions. Besides these, free housing pattas and sewing machines were given to some and seven people had been identified for the chief minister’s greenhouse scheme, he said. The collector said that people with HIV/AIDS should not be discriminated against but must be treated equally in the society. As many as 1.5 lakh people including public, pregnant mothers and target groups were benefiting from integrated counsellingAs part of AIDS Day events in Dindigul, the district collector flagged off an awareness rally. The public were told that they could get all their doubts and fears regarding HIV/AIDS cleared through the mobile app, ``Iyam thavir’. Out of the 11,01,33 persons tested for HIV/AIDS last year, 496 had tested positive and were duly registered in the ART centres and getting treated. TNN"
Need change of mindset about sex to fight AIDS menace: NGO,2018-12-02,GUWAHATI,"News,City News,Guwahati News,Civic Issues","GUWAHATI: Pancharatna, a local NGO working towards eradication of AIDS, was awarded by the state government for their tireless efforts on the occasion of World AIDS Day on Saturday. Speaking to TOI, the NGO said a change of mindset in talking about sex is necessary to fight the AIDS menace.Since 2008, the NGO has counselled more than 1000 individuals who are MSMs (men who have sex with men) in different locations of Nalbari district. Pancharatna has been bestowed with the responsibility to carry out the Targeted Intervention (TI) project with MSMs and transgenders.Health workers of the NGO have succeeded to persuade 22 MSMs to have health check-ups which detected that they were HIV positive. Fear of being ostracized had been one of the factors that kept the 22 men secretive about their sexual orientation and unable to take preventive measures.“It’s been a very difficult journey over the last 10 years. People still shy away from discussing sex. And the people who are MSM don’t want to speak openly at all. They would always hide. So, it becomes even more difficult to trace them,” Mahendra Baishya, chairman of Pancharatna, told TOI.“After we notice homosexual behaviour, we engage with them by making friends with the help of our workers with similar feelings towards the same sex. That’s how they become open and then we persuade them for blood tests and the next steps,” Baishya added.If anyone is found to be positive, they are immediately sent to the Gauhati Medical College Hospital for further treatment. He said that the age group of these 22 detected positive is from 20 to 35. “Many of them are married but they were continuing unsafe MSM activities. This has also introduced threats for their wives and newborns. This is very dangerous,” said Baishya.Narrating his experiences of the last decade, Baishya said only 30% change has come. “People don’t want to discuss sex openly. Until and unless we change this kind of mindset, we will not be able to fight this menace,” said Baishya.The most effective means of controlling the spread of HIV in India is through the implementation of Targeted Interventions (TIs) amongst persons most vulnerable to HIV/AIDS, such as female sex workers, men who have sex with men, transgenders and injecting drug users.As per the India HIV Estimation 2017 Fact Sheet, it is estimated that Assam has 13,539 people living with the disease. HIV prevalence in Assam is 0.06%, lower than the national average, which is 0.22%.“The scenario is not at all pleasant because Assam is vulnerable to new HIV infections mainly because of inflow and outflow of migrants,” said Samir Sinha, principal secretary of health and family welfare department."
Scared villagers drain 36-acre lake after HIV+ woman drowns in it,2018-12-04,Hubballi,"News,City News,Hubballi News","Hubballi: The residents of Morab , around 30km from Hubballi, have refused to drink water from their village lake after an HIV-positive woman committed suicide by jumping into it a week ago. Unable to convince them, the authorities are now draining the water from the 36-acre lake — roughly the size of 25 football fields — which they hope to refill with water from the Malaprabha canal.The Morab lake is the biggest in Navalgund taluk and the only source of drinking water for villagers and cattle. As of now, villagers trek 2-3km to the Malaprabha canal to fetch water.“This is unfortunate. We have been telling people not to panic as HIV does not spread through water. But the people are not convinced and they have started draining out the lake,” said Dharwad district health officer Dr Rajendra Doddamani.Dr Glory Alexander, founder-director of Asha Foundation, which treats HIV+ patients, said it was a case of fear rather than stigma. ""It's sheer ignorance stemming from lack of awareness. When an HIV positive person dies, the virus also dies. Even if the virus comes out of the body, it cannot survive in water and dies in a couple of seconds. There is no risk of infection spreading from the water,"" she said.The body of the woman was found in the lake on November 29. Word immediately spread the water had been contaminated, creating panic. Villagers refused to drink the water and pressured the gram panchayat and the Navalgund taluk administration to drain the lake. Authorities tried to convince the villagers that the water was not contaminated and that they would test the water, but no one relented. The authorities have now deployed 20 siphon tubes with four motors to pump out the water.“We found the body in a highly decomposed state,” said Muttanna Bhavaikatti, from Morab village. “We don’t want to consume contaminated water. We are trekking 2-3km to fetch water from the Malaprabha right bank canal that flows through Morab.”Pradeep Hanikere, another villager, said the daily hardship was preferable to drinking water from the lake. “Do the officials drink bottled water if they find dirt or a speck in it? If they can’t, then how can they force us to drink water from the lake where we found the body of a woman,” he said.Another villager pointed out, “We would have consumed the water if it was the body of a normal person; but the woman died of HIV. There is no other way: The authorities must drain out water and fill it with fresh water to save the lives of villagers.”Gram panchayat member Laxman Patil said the villagers refused to see reason, so pipes have been sucking water out for the past four days. “We managed to drain out lakhs of litres, and discharged the water in a nearby stream. We still have to drain water from 60% of the lake and need at least five days to empty it,” he said. There is another problem, though. “The taluk administration wants us to complete the task by December 6. They have warned the Malaprabha right canal will be closed after December 8, so we have to fill the water into lake before that. More than 50 people are involved in pumping out water. We will need 1-2 weeks to empty and fill the lake.”Navalgund tahsildar Naveen Hullur said: “We tried our best to convince people to drink the lake water but they refused outright. We offered to conduct tests to prove that the water is fit to drink. I will talk to officials to allow us to fill the lake from Malaprabha canal till December 20 or 22.”"
Manipur government for HIV tests before marriage,2018-12-02,IMPHAL,"News,City News,Imphal News","IMPHAL: While talking about the challenges faced by AIDS patients, Manipur governor Najma Heptulla on Saturday said people should undergo voluntary HIV tests before marriage. Heptulla was speaking at an event called ‘Know your HIV status’ which was organized at the 1st BN Manipur Rifles’ ground on the occasion of World Aids Day “Undergoing the HIV test is a must as it helps early detection and can pave the way for healthy living. It is the responsibility of the society to take up this fight against the disease,” she said. Adding that the fight against AIDS is also societal, economic and political, the governor expressed hope that experts and intellectuals would come up with suggestions which could help generate more awareness.This is not a battle to be fought by health officials and activists, but civil society groups should also come forward, she said. Appreciating the role of NGOs, Heptulla spoke about the need to spread more awareness about the disease.Chief minister N Biren Singh, who was also present on the occasion, said though the prevalence of AIDS is declining in the state, it is still very common in Manipur. The prevalence rate of HIV in Manipur is 1.43% while the rate is 0.022% in the country. Calling for an end of discrimination against AIDS patients, Biren urged NGOs and the people to come forward to take the fight forward. The government aims to ensure that there are no new HIV cases in Manipur by 2024, he added.Health minister L Jayantakumar said only awareness can put an end to the stigma and discrimination against AIDS patients. He called for a collective effort to eradicate the disease from the state."
"HIV, TB cases dip among vulnerable sections",2018-12-03,Trichy,"News,City News,Trichy News","Trichy: Despite being considered ‘vulnerable groups’ for tuberculosis and HIV/AIDS, no new cases have been reported in the recent detection drive conducted by the health department at prisons, oldage homes, rescue and rehabilitation shelters and orphanages in the district.As part of the national initiative, the state government in September had launched detection survey- HIV and TB Intervention in Prisons and other closed settings in Tamil Nadu - for people who fall under vulnerable groups for the two diseases.The detection drive started in Trichy on November 19 and got over on December 1. A total of 1,760 people were covered in the drive including 1,195 from the Trichy central prison and special prison for women and 565 people from orphanages, rescue and rehabilitation shelters and old-age homes, that were zeroed in for the programme.Deputy director of medical services, TB control, Dr S Savithri told TOI that all people with symptoms of tuberculosis were tested during the programme. A total of 115 sputum samples were collected. “We utilised this opportunity to cover the vulnerable groups and no one tested positive for TB. Early intervention is an absolute must for efficient treatment of TB,” she said.Though there were no new TB cases at the prisons, there were a handful of existing TB patients and they were being provided treatment. No existing TB cases were reported in other closed settings and state-run homes.While less prevalence of TB among people detected recently might seem to be positive news, according to health officials, prevalence is still high in Trichy city, Manachanallur, Thuvakudi and Thiruverumbur. So far, this year around 2,800 people were said to have received treatment for treatment in the whole district.On the other hand, all adults among the covered population were made to undergo the HIV/AIDS test. “Unlike TB, HIV/ AIDS does not show early symptoms. In some cases, it may take seven to ten years for symptoms to show. That’s why all the adults were tested,” District Aids Prevention and Control Unit (DAPCU), S Martin Manivannan said. Though there were no new cases, around seven to 10 HIV/ AIDS patients were inmates at the prisons and none in the other closed settings.Manivannan said that no positive HIV/ AIDS cases was evidence for how much the disease has decreased in Trichy. “Compared to the prevalence rate of 1.91% in 2011, the prevalence is just 0.37% now. Detection drives like the recent ones show how much AIDS has been curbed in the district,” he said."
