name,date,location,Lat,Long
AIDS: year-long programmes for State,"December 02, 2018",KERALA,10.850516,76.27108
Need to bring down HIV cases in State: AU V-C,"December 02, 2018",ANDHRA PRADESH,15.9129,79.73999
Take utmost care to stop spread of HIV/AIDS: Judge,"December 02, 2018",KARNATAKA,15.317277,75.71389
Cases decline due to awareness: Official,"December 02, 2018",KARNATAKA,15.317277,75.71389
01hymmm01-QualiG6O52F3R33jpgjpg,"December 02, 2018",TELANGANA,17.874821,79.521004
Various events mark World AIDS Day,"December 02, 2018",TAMIL NADU,11.127123,78.656891
01decTVLWorldGF052ELBB3jpgjpg,"December 02, 2018",TAMIL NADU,11.127123,78.656891
Awareness events mark World AIDS Day in Coimbatore,"December 02, 2018",TAMIL NADU,11.127123,78.656891
th02-kra-standaGCT52FC9J2jpgjpg,"December 02, 2018",TAMIL NADU,11.127123,78.656891
04bg-HIV-tankGG8D52T1CJ4jpgjpg,"December 05, 2018",KARNATAKA,15.317277,75.71389
04bg-HIV-tankAG8D52T1CJ5jpgjpg,"December 05, 2018",ANDHRA PRADESH,15.9129,79.73999
â€˜Crashes can be preventedâ€™,"December 05, 2018",Mumbai,19.075983,72.877655
Jaya panel examines neurologist,"December 06, 2018",TAMIL NADU,11.127123,78.656891
Transgenders protest before police station,"December 06, 2018",ANDHRA PRADESH,15.9129,79.73999
â€˜Crashes can be preventedâ€™,"December 06, 2018",MUMBAI,19.075983,72.877655
Transgenders protest before police station,"December 06, 2018",Andhra Pradesh,15.9129,79.73999
Queer art festival held,"December 24, 2018",NEW DELHI,28.632429,77.218788
Queer art festival held,"December 24, 2018",Delhi,28.70406,77.102493
ENGAGEMENTS,"December 08, 2018",TAMIL NADU,11.127123,78.656891
Seven doctors held for dirty dancing,"December 23, 2018",TELANGANA,17.874821,79.521004
Pregnant woman tests positive for HIV after blood transfusion,"December 26, 2018",ANDHRA PRADESH,15.9129,79.73999
Pregnant woman tests positive for HIV after blood transfusion in Tamil Nadu,"December 26, 2018",Tamil Nadu,11.127123,78.656891
Biotech Research Society honours professors,"December 03, 2018",TAMIL NADU,11.127123,78.656891
"After HIV scare, villagers emptying tank","December 05, 2018",ANDHRA PRADESH,15.9129,79.73999
HIV blood transfusion to pregnant woman: 3 TN hospital employees dismissed,"December 26, 2018",Madurai,9.925201,78.119774
"HIV case: unnamed doctors, nurses booked","December 26, 2018",Madurai,9.925201,78.119774
"HIV case: doctors, nurses booked","December 27, 2018",TAMIL NADU,11.127123,78.656891
State govt. to give â€˜high qualityâ€™ treatment to HIV-infected woman,"December 27, 2018",TAMIL NADU,11.127123,78.656891
Transfusion of HIV infected blood: TN govt. to give â€˜high qualityâ€™ treatment to pregnant woman,"December 27, 2018",Tamil Nadu,11.127123,78.656891
TH27HIVINFECTEDWOMAN,"December 27, 2018",Tamil Nadu,11.127123,78.656891
26decmassr1HIG7656870M3jpgjpg,"December 27, 2018",TAMIL NADU,11.127123,78.656891
Woman tests positive for Hepatitis B,"December 28, 2018",TAMIL NADU,11.127123,78.656891
"NHRC seeks report from Centre, State government","December 28, 2018",TAMIL NADU,11.127123,78.656891
HC takes up case of woman getting HIV-positive blood,"December 28, 2018",TAMIL NADU,11.127123,78.656891
Second screening of blood bags in govt. hospitals over,"December 28, 2018",TAMIL NADU,11.127123,78.656891
Blood bank inspected,"December 28, 2018",TAMIL NADU,11.127123,78.656891
"NHRC issues notices to Centre, Tamil Nadu government","December 28, 2018",NEW DELHI,28.632429,77.218788
"NHRC seeks report from Centre, State government","December 28, 2018",Tamil Nadu,11.127123,78.656891
Madras HC takes up case of woman getting HIV-positive blood,"December 28, 2018",Tamil Nadu,11.127123,78.656891
"NHRC issues notices to Centre, Tamil Nadu government","December 28, 2018",Delhi,28.70406,77.102493
â€˜Lacunae in blood collection will be fixedâ€™,"December 28, 2018",Tamil Nadu,11.127123,78.656891
She tests positive for hepatitis-B too,"December 28, 2018",Tamil Nadu,11.127123,78.656891
Blood transfusion: 200 years on,"December 31, 2018",Mumbai,19.075983,72.877655
Stalin demands dismissalof Health Minister,"December 31, 2018",Chennai,13.08268,80.270721
SHRC seeks report on Sattur blood transfusion incident,"January 01, 2019",TAMIL NADU,11.127123,78.656891
Man demands details of treatment given to wife at GH,"January 01, 2019",TAMIL NADU,11.127123,78.656891
Do not create panic over blood transfusion: TNGDA,"January 01, 2019",TAMIL NADU,11.127123,78.656891
Salem woman alleges she received HIV infected blood,"December 31, 2018",Tamil Nadu,11.127123,78.656891
PMK to align with â€˜like-minded partiesâ€™ for polls,"December 31, 2018",Tamil Nadu,11.127123,78.656891
HIV+ youth whose blood was given to pregnant woman dies,"December 31, 2018",Tamil Nadu,11.127123,78.656891
AIDS Control Society holds awareness rally,"December 12, 2018",TAMIL NADU,11.127123,78.656891
Pathologists threaten strike,"December 12, 2018",MUMBAI,19.075983,72.877655
AIDS Control Society holds awareness rally,"December 12, 2018",Puducherry,11.941552,79.808289
Pathologists threaten strike,"December 12, 2018",Mumbai,19.075983,72.877655
Dialysis unit for HIV patients,"December 15, 2018",KERALA,10.850516,76.27108
"A long, tiring journey no longer","December 15, 2018",Kerala,10.850516,76.27108
"A march for dignity, support","January 05, 2019",Hyderabad,17.385044,78.486671
â€˜None will be spared in HIV blood transfusion caseâ€™,"January 06, 2019",TAMIL NADU,11.127123,78.656891
DMKâ€™s medical wing demands dismissal of Vijaya Baskar,"January 06, 2019",TAMIL NADU,11.127123,78.656891
Tainted blood,"January 06, 2019",TAMIL NADU,11.127123,78.656891
"A march for dignity, support","January 06, 2019",TELANGANA,17.874821,79.521004
HIV positive blood donor dies after consuming poison,"December 30, 2018",Tamil Nadu,11.127123,78.656891
â€˜None will be spared in HIV blood transfusion caseâ€™,"January 06, 2019",Tamil Nadu,11.127123,78.656891
HIV+ woman seeks action against KMC,"December 30, 2018",Chennai,13.08268,80.270721
DMKâ€™s medical wing demands dismissal of Vijaya Baskar,"January 06, 2019",Tamil Nadu,11.127123,78.656891
HIV crisis in TN: Tainted blood,"January 06, 2019",Tamil Nadu,11.127123,78.656891
â€˜Make blood screening mandatory for recipientsâ€™,"December 31, 2018",TAMIL NADU,11.127123,78.656891
"PMK to align with like-minded parties for polls, says Anbumani","December 31, 2018",TAMIL NADU,11.127123,78.656891
A year that saw health sector stained by transfusion blot,"December 31, 2018",TAMIL NADU,11.127123,78.656891
HIV+ youth whose blood was transfused to woman dies,"December 31, 2018",TAMIL NADU,11.127123,78.656891
Salem woman alleges she received HIV infected blood,"December 31, 2018",TAMIL NADU,11.127123,78.656891
Ringing in New Year with children,"January 02, 2019",KARNATAKA,15.317277,75.71389
Assembly session likely to be stormy,"January 02, 2019",TAMIL NADU,11.127123,78.656891
â€˜Purohit merely read out the governmentâ€™s failure papersâ€™,"January 03, 2019",TAMIL NADU,11.127123,78.656891
Post-mortem of HIV-infected youth performed,"January 03, 2019",TAMIL NADU,11.127123,78.656891
Assembly session likely to be stormy,"January 02, 2019",Tamil Nadu,11.127123,78.656891
â€˜Purohit merely read out the governmentâ€™s failure papersâ€™,"January 03, 2019",Tamil Nadu,11.127123,78.656891
â€˜State needs a safe blood policyâ€™,"January 04, 2019",TAMIL NADU,11.127123,78.656891
SCTIMST amps up blood safety,"January 04, 2019",KERALA,10.850516,76.27108
Haemodialysis centre for HIV-infected opened,"December 17, 2018",KERALA,10.850516,76.27108
SCTIMST amps up blood safety,"January 04, 2019",Thiruvananthapuram,8.524139,76.936638
â€˜State needs a safe blood policyâ€™,"January 03, 2019",Madurai,9.925201,78.119774
HIV no bar as Jharkhand woman donates kidney to husband,"December 18, 2018",ANDHRA PRADESH,15.9129,79.73999
Second screening of blood bags in govt. hospitals over,"December 28, 2018",Madurai,9.925201,78.119774
Medical team visits Sivakasi GH to probe into HIV blood transfusion,"December 28, 2018",Tamil Nadu,11.127123,78.656891
Yadadri sex racket accused move HC to meet children,"December 20, 2018",TELANGANA,17.874821,79.521004
Seven doctors held for dirty dancing,"December 22, 2018",Hyderabad,17.385044,78.486671
Yadadri sex racket accused move HC to meet children,"December 19, 2018",Telangana,17.874821,79.521004
HIV no bar as Jharkhand woman donates kidney to husband,"December 18, 2018",Tamil Nadu,11.127123,78.656891
Woman claims to have been given HIV-infected blood,"December 29, 2018",TAMIL NADU,11.127123,78.656891
Woman claims KMC gave her HIV,"December 29, 2018",Chennai,13.08268,80.270721
"Land, housing allocated to HIV-infected woman","December 29, 2018",Madurai,9.925201,78.119774
"Land, housing allocated to HIV-infected woman","December 30, 2018",TAMIL NADU,11.127123,78.656891
HIV+ woman seeks action against KMC,"December 30, 2018",TAMIL NADU,11.127123,78.656891
A year that saw health sector stained by transfusion blot,"December 30, 2018",TAMIL NADU,11.127123,78.656891
â€˜WHO guidelines on TB must be followedâ€™,"December 30, 2018",Tamil Nadu,11.127123,78.656891
Stitching up cartoons on social issues,"January 07, 2019",ANDHRA PRADESH,15.9129,79.73999
"Self-taught cartoonist from Andhra gets accolades in S. Korea, China","January 07, 2019",Vijayawada,16.506174,80.648018
Zero governance triggering stirs: Stalin,"January 08, 2019",TAMIL NADU,11.127123,78.656891
"Trans activists up the ante, to challenge Bill","January 09, 2019",NEW DELHI,28.632429,77.218788
Zero governance triggering stirs: Stalin,"January 08, 2019",Tamil Nadu,11.127123,78.656891
"Trans activists up the ante, to challenge Bill","January 09, 2019",Delhi,28.70406,77.102493
"HIV, AIDS cases on the decline: officer","November 30, 2018",KARNATAKA,15.317277,75.71389
HIV viral load checking facility soon at CMCH,"November 30, 2018",TAMIL NADU,11.127123,78.656891
"HIV infection: A.P., Telangana rank fourth in country, says doc","November 30, 2018",ANDHRA PRADESH,15.9129,79.73999
HIV prevalence rate declines in Coimbatore,"November 30, 2018",TAMIL NADU,11.127123,78.656891
29mnudupiHIVGJ8526UP13jpgjpg,"November 30, 2018",KARNATAKA,15.317277,75.71389
29novcbwgt1hivG13524G1S1jpgjpg,"November 30, 2018",TAMIL NADU,11.127123,78.656891
IMA members to rally for stroke awareness,"October 27, 2018",Andhra Pradesh,15.9129,79.73999
â€˜Almost half the people with HIV yet to get ARTâ€™,"November 01, 2018",Karnataka,15.317277,75.71389
02BGAIDS,"November 01, 2018",Karnataka,15.317277,75.71389
44% of people with HIV yet to get ART,"November 02, 2018",TELANGANA,17.874821,79.521004
Poor response from students,"November 02, 2018",KARNATAKA,15.317277,75.71389
IMA members to rally for stroke awareness,"October 27, 2018",ANDHRA PRADESH,15.9129,79.73999
01bgbgyasHIV-G424TVKAJ3jpgjpg,"November 02, 2018",KARNATAKA,15.317277,75.71389
NACO mulling over introducing PrEP among vulnerable groups,"November 02, 2018",Karnataka,15.317277,75.71389
NACO mulling over introducing PrEP among vulnerable groups,"November 03, 2018",KARNATAKA,15.317277,75.71389
SVR Ruia gears up for hepatitis control programme,"November 17, 2018",ANDHRA PRADESH,15.9129,79.73999
â€˜HIV heightens risk of neuro emergenciesâ€™,"November 17, 2018",ANDHRA PRADESH,15.9129,79.73999
â€˜4 BJP-ruled States took similar standâ€™,"November 17, 2018",ANDHRA PRADESH,15.9129,79.73999
"â€˜Centre, AAP govt not ensuring regular supply of HIV drugsâ€™","November 19, 2018",NEW DELHI,28.632429,77.218788
"â€˜Centre, AAP govt not ensuring regular supply of HIV drugsâ€™","November 19, 2018",Delhi,28.70406,77.102493
18DELPRIYAHIVRIBBON,"November 19, 2018",Delhi,28.70406,77.102493
Delhiitesâ€™ life expectancy reduced by 10 years due to pollution: report,"November 20, 2018",NEW DELHI,28.632429,77.218788
"Prisoners screened for HIV, TB","November 09, 2018",TAMIL NADU,11.127123,78.656891
Events in Bengaluru Today,"October 16, 2018",KARNATAKA,15.317277,75.71389
GH to expand services for transgenders,"October 18, 2018",TAMIL NADU,11.127123,78.656891
Meme competition to create awareness on HIV/AIDS,"October 17, 2018",TAMIL NADU,11.127123,78.656891
Contract health workers to go on strike tomorrow,"October 24, 2018",KARNATAKA,15.317277,75.71389
Award for The Hindu journalist for writing on mental health issues,"October 25, 2018",Chennai,13.08268,80.270721
HIV patients stopping treatment midway: official,"November 29, 2018",KERALA,10.850516,76.27108
Delhiitesâ€™ life expectancy reduced by 10 years due to pollution: report,"November 20, 2018",Delhi,28.70406,77.102493
H1N1 cases on the rise in Kerala,"November 21, 2018",Kerala,10.850516,76.27108
"Take to AI, CSIR DG tells scientists","November 23, 2018",TELANGANA,17.874821,79.521004
"Take to AI, CSIR DG tells scientists","November 23, 2018",Hyderabad,17.385044,78.486671
â€˜Less than 10% of those infected with viral hepatitis aware of diseaseâ€™,"July 28, 2018",Delhi,28.70406,77.102493
Helping the poor and needy with art,"May 12, 2018",ANDHRA PRADESH,15.9129,79.73999
School admissions begin,"April 19, 2018",TAMIL NADU,11.127123,78.656891
"Braving all odds, a life among the dead","April 19, 2018",ANDHRA PRADESH,15.9129,79.73999
Much ado about nothing,"May 10, 2018",Kerala,10.850516,76.27108
jyoti-hivARTGGOU40QKIQ1jpgjpg,"May 19, 2018",MUMBAI,19.075983,72.877655
"Braving all odds, a life among the dead","April 19, 2018",Andhra Pradesh,15.9129,79.73999
Parents declare children as orphans to get RTE seat,"April 21, 2018",KARNATAKA,15.317277,75.71389
Lankan Tamil refugee desperate to reunite with his father,"April 22, 2018",Tamil Nadu,11.127123,78.656891
Lankan Tamil desperate to reunite with his father,"April 23, 2018",TAMIL NADU,11.127123,78.656891
Parents declare children as orphans to get RTE seat,"April 21, 2018",Karnataka,15.317277,75.71389
Hi-tech vet lab in Kollam soon,"May 26, 2018",Kerala,10.850516,76.27108
Hi-tech vet lab in Kollam soon,"May 27, 2018",KERALA,10.850516,76.27108
"Bringing about change, one step at a time","May 21, 2018",TELANGANA,17.874821,79.521004
"Bringing about change, one step at a time","May 21, 2018",Telangana,17.874821,79.521004
Hyderabad transgenders join task force team,"May 22, 2018",TELANGANA,17.874821,79.521004
No city for homeless and destitute,"May 25, 2018",ANDHRA PRADESH,15.9129,79.73999
No city for homeless and destitute,"May 25, 2018",Visakhapatnam,17.686815,83.218483
More castes in RTE Actâ€™s underprivileged category,"May 18, 2018",MUMBAI,19.075983,72.877655
HIV deaths in Mumbai up by 61% in a year,"May 19, 2018",MUMBAI,19.075983,72.877655
19bmhivcol,"May 19, 2018",Mumbai,19.075983,72.877655
HIV deaths in Mumbai up by 61% in a year,"May 19, 2018",Mumbai,19.075983,72.877655
SHRC orders probe into boyâ€™s death,"May 01, 2018",KERALA,10.850516,76.27108
Plea against medical universityâ€™s PG courses,"May 01, 2018",TAMIL NADU,11.127123,78.656891
Plea against medical universityâ€™s PG courses,"May 01, 2018",Tamil Nadu,11.127123,78.656891
"â€˜Reform medical education, build more collegesâ€™","May 05, 2018",TAMIL NADU,11.127123,78.656891
"â€˜Reform medical education, build more collegesâ€™","May 05, 2018",Tamil Nadu,11.127123,78.656891
Much ado about nothing,"May 10, 2018",KERALA,10.850516,76.27108
HC slams â€˜blatant discriminationâ€™ against HIV patient,"May 10, 2018",NEW DELHI,28.632429,77.218788
HC slams â€˜blatant discriminationâ€™ against HIV patient,"May 10, 2018",Delhi,28.70406,77.102493
â€˜Adhikar Melaâ€™ organised in Gurugram,"June 07, 2018",NEW DELHI,28.632429,77.218788
â€˜Adhikar Melaâ€™ organised in Gurugram,"June 07, 2018",Delhi,28.70406,77.102493
HIV positive persons allege humiliation by official,"June 07, 2018",Tamil Nadu,11.127123,78.656891
DoE directs school heads to organise events against drug abuse,"June 23, 2018",NEW DELHI,28.632429,77.218788
DoE directs school heads to organise events against drug abuse,"June 23, 2018",Delhi,28.70406,77.102493
Plans afoot to digitise records of ART patients,"June 24, 2018",TAMIL NADU,11.127123,78.656891
Plans afoot to digitise records of ART patients,"June 24, 2018",Chennai,13.08268,80.270721
HY27-GOOGLEINDIA,"June 27, 2018",Hyderabad,17.385044,78.486671
Google extends support for Telugu language ads,"June 28, 2018",TELANGANA,17.874821,79.521004
Doctors bust myths on blood donation,"June 15, 2018",NEW DELHI,28.632429,77.218788
Awareness rally held,"June 15, 2018",TAMIL NADU,11.127123,78.656891
Doctors bust myths on blood donation,"June 15, 2018",Delhi,28.70406,77.102493
"APSACS, NACO launch screening tests for HIV","June 16, 2018",ANDHRA PRADESH,15.9129,79.73999
A meeting of donors and beneficiaries,"July 06, 2018",Chennai,13.08268,80.270721
HIV: Community-based treatment yields positive results in Prakasam,"July 09, 2018",ANDHRA PRADESH,15.9129,79.73999
"Now, another transgender dons legal robe","July 09, 2018",TAMIL NADU,11.127123,78.656891
HIV: Community-based treatment yields positive results in Prakasam,"July 09, 2018",Andhra Pradesh,15.9129,79.73999
09VJPAGE4HIVTESTING,"July 09, 2018",Andhra Pradesh,15.9129,79.73999
08og-hiv-testinGS64AN4203jpgjpg,"July 09, 2018",ANDHRA PRADESH,15.9129,79.73999
Gone girls: the trafficked children of Yadadri,"August 12, 2018",Telangana,17.874821,79.521004
â€˜Why law to prevent discrimination against HIV patients not notified?â€™,"August 14, 2018",NEW DELHI,28.632429,77.218788
â€˜Why law to prevent discrimination against HIV patients not notified?â€™,"August 14, 2018",Delhi,28.70406,77.102493
HIV outreach worker assaulted on home visit in Dhule,"August 15, 2018",Mumbai,19.075983,72.877655
â€˜More breast milk banks neededâ€™,"July 12, 2018",TAMIL NADU,11.127123,78.656891
Jipmer's 'ATM' for human milk completes two years,"July 12, 2018",Puducherry,11.941552,79.808289
CITY ENGAGEMENTS (SATURDAY),"July 14, 2018",TAMIL NADU,11.127123,78.656891
"Police are scaring away sex workers, NGOs complain","July 14, 2018",ANDHRA PRADESH,15.9129,79.73999
13vjgvrPolice-G634BQ0NL3jpgjpg,"July 14, 2018",ANDHRA PRADESH,15.9129,79.73999
14VJAPSACS,"July 14, 2018",Vijayawada,16.506174,80.648018
"Police are scaring away sex workers, NGOs complain","July 14, 2018",Vijayawada,16.506174,80.648018
Free viral load testing for people with HIV in Prakasam,"July 15, 2018",ANDHRA PRADESH,15.9129,79.73999
Free viral load testing for people with HIV in Prakasam,"July 15, 2018",Andhra Pradesh,15.9129,79.73999
HIV outreach worker assaulted on home visit in Dhule,"August 16, 2018",MUMBAI,19.075983,72.877655
"â€˜Take good care of HIV, TB, leprosy sufferersâ€™","August 18, 2018",ANDHRA PRADESH,15.9129,79.73999
Former MP Chennupati Vidya passes away,"August 18, 2018",Vijayawada,16.506174,80.648018
Former MP Chennupati Vidya dead,"August 18, 2018",Andhra Pradesh,15.9129,79.73999
Former MP Chennupati Vidya dead,"August 19, 2018",ANDHRA PRADESH,15.9129,79.73999
WHO highlights ways to reduce cancer risk,"August 21, 2018",NEW DELHI,28.632429,77.218788
WHO highlights ways to reduce cancer risk,"August 21, 2018",Delhi,28.70406,77.102493
Congress places its bets on hike in Aasra pensions,"August 23, 2018",TELANGANA,17.874821,79.521004
Congress places its bets on hike in Aasra pensions to take on TRS,"August 23, 2018",Hyderabad,17.385044,78.486671
Schools to appoint nodal officer to ensure â€˜tobacco-freeâ€™ zones,"July 20, 2018",NEW DELHI,28.632429,77.218788
Schools to appoint nodal officer to ensure â€˜tobacco-freeâ€™ zones,"July 20, 2018",Delhi,28.70406,77.102493
8 more Byculla inmates admitted to JJ hospital,"July 23, 2018",MUMBAI,19.075983,72.877655
8 more Byculla inmates admitted to JJ hospital,"July 23, 2018",Mumbai,19.075983,72.877655
Screening can control spread of Hepatitis C virus: doctors,"July 28, 2018",TELANGANA,17.874821,79.521004
Screening can control spread of Hepatitis C Virus: doctors,"July 28, 2018",Hyderabad,17.385044,78.486671
â€˜Problems galore for urban shelter homesâ€™,"August 25, 2018",ANDHRA PRADESH,15.9129,79.73999
â€˜Problems galore for urban shelter homesâ€™,"August 25, 2018",Visakhapatnam,17.686815,83.218483
Drug Control authorities seize unit selling blood plasma,"August 27, 2018",TELANGANA,17.874821,79.521004
Drug Control authorities seize unit selling blood plasma,"August 27, 2018",Hyderabad,17.385044,78.486671
Prisoners may soon get leave for conjugal visits,"September 22, 2018",Chennai,13.08268,80.270721
Prisoners may soon get leave for conjugal visits,"September 23, 2018",TAMIL NADU,11.127123,78.656891
"Man kills daughters, attempts suicide","September 24, 2018",TAMIL NADU,11.127123,78.656891
Man dies,"September 25, 2018",TAMIL NADU,11.127123,78.656891
"Travel concessions worth Rs. 1,800 crore announced","September 26, 2018",MUMBAI,19.075983,72.877655
06-DE-Rocky-DelGG74L5KOA3jpgjpg,"September 07, 2018",NEW DELHI,28.632429,77.218788
City engagements,"September 10, 2018",TAMIL NADU,11.127123,78.656891
Draft Charter of Patientsâ€™ Rights released,"September 10, 2018",Karnataka,15.317277,75.71389
Draft Charter of Patientsâ€™ Rights released,"September 11, 2018",KARNATAKA,15.317277,75.71389
"Travel concessions worth â‚¹1,800 crore announced","September 26, 2018",Mumbai,19.075983,72.877655
"Mapping the road ahead, after Sec. 377 verdict","September 30, 2018",Mumbai,19.075983,72.877655
Manaveeyam to buzz with ideas for change,"October 04, 2018",KERALA,10.850516,76.27108
Manaveeyam to buzz with ideas for change,"October 04, 2018",Thiruvananthapuram,8.524139,76.936638
Agents of change from Africa,"October 06, 2018",Kerala,10.850516,76.27108
Agents of change from Africa,"October 07, 2018",KERALA,10.850516,76.27108
sundayformondayGE84MIMVJ3jpgjpg,"September 17, 2018",NEW DELHI,28.632429,77.218788
Chennai Today,"September 17, 2018",Chennai,13.08268,80.270721
Chennai Today,"September 18, 2018",TAMIL NADU,11.127123,78.656891
Aurobindoâ€™s HIV drug gets SAHPRA nod,"September 19, 2018",TELANGANA,17.874821,79.521004
Aurobindoâ€™s HIV drug gets SAHPRA nod,"September 19, 2018",Hyderabad,17.385044,78.486671
Sowing the seeds of entrepreneurship,"September 01, 2018",TELANGANA,17.874821,79.521004
31hyrrr01-EntreGBS4K7HIV3jpgjpg,"September 01, 2018",TELANGANA,17.874821,79.521004
HY31-PHANINDRA1,"September 01, 2018",Hyderabad,17.385044,78.486671
Draft charter of Patientsâ€™ Rights released,"September 04, 2018",ANDHRA PRADESH,15.9129,79.73999
SC verdict leaves LGBTQ community in â€˜tears of joyâ€™,"September 07, 2018",ANDHRA PRADESH,15.9129,79.73999
â€˜Discrimination must be addressed without delayâ€™,"September 07, 2018",NEW DELHI,28.632429,77.218788
Mikudu team wins The Hindu BusinessLine Cerebration Quiz,"September 16, 2018",KERALA,10.850516,76.27108
Mikudu team wins The Hindu BusinessLine Cerebration Quiz,"September 16, 2018",Kochi,9.931233,76.267303
"A positive, stigma-free approach to treatment","September 17, 2018",NEW DELHI,28.632429,77.218788
DE16BINDU,"September 17, 2018",Delhi,28.70406,77.102493
"A positive, stigma-free approach to treatment","September 17, 2018",Delhi,28.70406,77.102493
"Farming, housing priority areas","March 26, 2018",Kerala,10.850516,76.27108
"Farming, housing priority areas","March 27, 2018",KERALA,10.850516,76.27108
Cheyyar GH gets high-tech tool to diagnose TB,"March 26, 2018",TAMIL NADU,11.127123,78.656891
Cheyyar GH gets high-tech tool to diagnose TB,"March 26, 2018",Tamil Nadu,11.127123,78.656891
Women-friendly Budget for local body,"March 21, 2018",KERALA,10.850516,76.27108
Palliative care centre at Gajwel soon,"March 21, 2018",Telangana,17.874821,79.521004
Palliative care centre at Gajwel soon,"March 22, 2018",TELANGANA,17.874821,79.521004
Helping the HIV+ tie the knot,"March 23, 2018",KARNATAKA,15.317277,75.71389
Mumbai charity gets a royal mention,"April 10, 2018",MUMBAI,19.075983,72.877655
Mumbai charity gets a royal mention,"April 10, 2018",Mumbai,19.075983,72.877655
Child who â€˜contractedâ€™ HIV at RCC is dead,"April 12, 2018",KERALA,10.850516,76.27108
â€˜More men than women have TB in Haryanaâ€™,"March 24, 2018",NEW DELHI,28.632429,77.218788
23BGVIJAYAPURAKITTURHIV,"March 23, 2018",Karnataka,15.317277,75.71389
A saviour for those with HIV,"March 23, 2018",Karnataka,15.317277,75.71389
TB cases: erring private hospitals warned,"March 24, 2018",ANDHRA PRADESH,15.9129,79.73999
Scary until oversimplified,"March 03, 2018",TAMIL NADU,11.127123,78.656891
Case against disqualified legislator,"March 03, 2018",TAMIL NADU,11.127123,78.656891
"SRM invites applications for B.Tech, B.Arch","March 03, 2018",ANDHRA PRADESH,15.9129,79.73999
02thPariReviewGE93HIV1I3jpgjpg,"March 03, 2018",TAMIL NADU,11.127123,78.656891
3bm-pg5-Hindi-fGE93HIV1I6jpgjpg,"March 03, 2018",TELANGANA,17.874821,79.521004
Russian bashing done wrong,"March 04, 2018",KARNATAKA,15.317277,75.71389
Chilavannoor Bund Road to be widened to ease chaos at Vyttila,"March 05, 2018",KERALA,10.850516,76.27108
What it takes to change,"March 06, 2018",Bengaluru,12.971599,77.594566
"Despite clause, services continue to be denied over Aadhaar","March 10, 2018",Karnataka,15.317277,75.71389
"Despite clause, services continue to be denied over Aadhaar card","March 11, 2018",KARNATAKA,15.317277,75.71389
"Over 2,500 people participate in Mega Legal Services Camp","March 12, 2018",NEW DELHI,28.632429,77.218788
"Over 2,500 people participate in Mega Legal Services Camp","March 12, 2018",Delhi,28.70406,77.102493
Child who â€˜contractedâ€™ HIV at RCC is dead,"April 12, 2018",Kerala,10.850516,76.27108
"Cityâ€™s top ailments: diabetes, hypertension","April 17, 2018",MUMBAI,19.075983,72.877655
Karnataka HC fiat to government,"April 14, 2018",KARNATAKA,15.317277,75.71389
RCC told to preserve girlâ€™s blood samples,"April 12, 2018",Kerala,10.850516,76.27108
"Cityâ€™s top ailments: diabetes, hypertension","April 17, 2018",Mumbai,19.075983,72.877655
